x_m,y_m
1.399976,3.402105
1.400012,3.302041
1.400023,3.201988
1.400035,3.101935
1.400047,3.001883
1.400059,2.90183
1.40007,2.801777
1.400082,2.701725
1.400094,2.601672
1.400106,2.501619
1.400118,2.401567
1.400129,2.301514
1.400141,2.201461
1.400153,2.101409
1.400165,2.001356
1.400177,1.901303
1.400188,1.801251
1.4002,1.701198
1.400206,1.651221
1.400212,1.601244
1.400218,1.551267
1.400224,1.50129
1.40023,1.446532
1.400237,1.384969
1.400246,1.314167
1.419391,1.252078
1.494662,1.257332
1.558569,1.261793
1.613733,1.265644
1.663388,1.26911
1.713335,1.272597
1.763282,1.276083
1.813228,1.27957
1.863175,1.283056
1.962143,1.289964
2.061952,1.296931
2.161762,1.303899
2.261572,1.310866
2.361382,1.317833
2.461191,1.3248
2.561001,1.331767
2.660811,1.338734
2.710877,1.342229
2.749328,1.344913
2.786179,1.333605
2.820573,1.318165
2.854548,1.302913
2.9456,1.262037
3.036877,1.22106
3.128154,1.180084
3.219431,1.139107
3.310708,1.098131
3.401984,1.057155
3.493261,1.016178
3.584538,0.975202
3.675815,0.934225
3.767092,0.893249
3.812686,0.872781
3.85828,0.852312
3.903874,0.831844
3.937176,0.816894
3.971661,0.801413
4.010591,0.783936
4.05365,0.764606
4.101923,0.743705
4.135053,0.779345
4.164777,0.811322
4.192959,0.841639
4.255687,0.909118
4.289713,0.945723
4.32374,0.982328
4.357767,1.018932
4.425887,1.092214
4.459981,1.12889
4.494074,1.165567
4.523604,1.197334
4.553507,1.229502
4.585829,1.264273
4.621072,1.302187
4.661572,1.344571
4.712876,1.321398
4.758612,1.300739
4.799897,1.282091
4.846564,1.261011
4.893164,1.239962
4.979153,1.201122
5.024788,1.180508
5.115971,1.139322
5.207153,1.098135
5.298335,1.056949
5.389517,1.015762
5.480699,0.974576
5.571882,0.933389
5.663064,0.892203
5.754246,0.851016
5.845428,0.80983
5.93661,0.768643
6.027793,0.727457
6.073339,0.706884
6.1618,0.666926
6.189942,0.654214
6.218694,0.641227
6.248609,0.627715
6.279579,0.615386
6.313258,0.630281
6.345163,0.644392
6.374873,0.657532
6.403935,0.670386
6.449642,0.690601
6.495348,0.710816
6.586851,0.751286
6.678354,0.791755
6.769856,0.832225
6.861359,0.872695
6.952861,0.913165
7.044364,0.953634
7.135866,0.994104
7.227369,1.034574
7.318872,1.075044
7.410374,1.115513
7.501877,1.155983
7.593379,1.196453
7.684882,1.236922
7.776385,1.277392
7.867887,1.317862
7.958298,1.357849
8.004368,1.378225
8.05017,1.398482
8.097755,1.419528
8.148589,1.430873
8.198179,1.411042
8.245442,1.392143
8.29186,1.373581
8.338356,1.354988
8.431256,1.317838
8.524156,1.280689
8.617057,1.24354
8.709957,1.206391
8.802857,1.169241
8.895757,1.132092
8.988658,1.094943
9.081558,1.057793
9.174458,1.020644
9.267358,0.983495
9.360258,0.946346
9.453159,0.909196
9.499563,0.89064
9.545968,0.872083
9.592373,0.853527
9.638777,0.834971
9.681804,0.817765
9.72846,0.799108
9.780742,0.778201
9.834792,0.769155
9.868397,0.813633
9.898623,0.853638
9.925785,0.889589
9.951793,0.924011
10.006758,0.996759
10.036886,1.036635
10.067014,1.076511
10.127329,1.156339
10.187643,1.236168
10.247958,1.315997
10.308273,1.395826
10.368588,1.475655
10.428902,1.555484
10.489217,1.635313
10.549532,1.715142
10.609847,1.794971
10.670161,1.8748
10.730476,1.954629
10.760604,1.994504
10.790732,2.034379
10.809577,2.059322
10.828606,2.084507
10.848838,2.111285
10.870075,2.139394
10.892009,2.168424
10.892897,2.201504
10.882485,2.234491
10.872668,2.265595
10.84375,2.357214
10.828707,2.404874
10.813664,2.452534
10.783549,2.547947
10.753434,2.643359
10.723319,2.738772
10.693204,2.834185
10.663088,2.929598
10.632973,3.02501
10.602858,3.120423
10.572743,3.215836
10.542628,3.311249
10.51254,3.406576
10.497352,3.454695
10.495445,3.50499
10.495423,3.605043
10.495401,3.705095
10.49538,3.805148
10.495358,3.905201
10.495336,4.005253
10.495315,4.105306
10.495293,4.205358
10.495271,4.305411
10.49525,4.405464
10.495228,4.505516
10.495206,4.605569
10.495185,4.705621
10.495163,4.805674
10.495141,4.905727
10.49512,5.005779
10.495098,5.105832
10.495076,5.205884
10.495065,5.255862
10.495055,5.30584
10.495044,5.355817
10.495035,5.398478
10.495024,5.44573
10.495013,5.499197
10.492633,5.558402
10.432204,5.568677
10.378458,5.577816
10.330202,5.586021
10.285424,5.593634
10.236153,5.602012
10.186883,5.610389
10.137613,5.618766
10.038976,5.635538
9.94034,5.652309
9.841703,5.66908
9.743066,5.685851
9.644429,5.702623
9.545792,5.719394
9.447155,5.736165
9.348518,5.752936
9.299248,5.761314
9.249977,5.769691
9.15856,5.785235
9.121521,5.791533
9.084012,5.79791
9.043374,5.80482
8.999556,5.81227
8.960151,5.798077
8.934196,5.757603
8.911239,5.721804
8.889706,5.688226
8.862479,5.645768
8.835501,5.603698
8.808522,5.561627
8.768028,5.498481
8.727534,5.435335
8.673525,5.351112
8.619515,5.266889
8.565505,5.182666
8.511496,5.098443
8.457486,5.014221
8.403476,4.929998
8.376498,4.887927
8.355864,4.855751
8.334698,4.822745
8.312973,4.788836
8.315695,4.749588
8.322498,4.651507
8.325957,4.60165
8.33288,4.501837
8.339803,4.402024
8.346726,4.302211
8.350191,4.252256
8.356403,4.162695
8.35996,4.111422
8.363516,4.060148
8.366948,4.010667
8.370646,3.95735
8.374853,3.896706
8.379702,3.826789
8.338301,3.786437
8.264096,3.783275
8.200106,3.780549
8.143695,3.778145
8.093447,3.776004
8.043418,3.773872
7.993388,3.77174
7.943359,3.769609
7.893329,3.767477
7.793367,3.763218
7.693405,3.758958
7.593443,3.754699
7.543512,3.752571
7.494385,3.750478
7.444833,3.748367
7.396953,3.730268
7.352462,3.705285
7.308885,3.680815
7.221646,3.631827
7.134407,3.582839
7.047168,3.53385
6.959928,3.484862
6.872689,3.435874
6.78545,3.386886
6.698211,3.337898
6.610971,3.28891
6.523732,3.239922
6.436493,3.190934
6.349253,3.141946
6.262014,3.092958
6.174775,3.04397
6.087536,2.994981
6.043873,2.970463
6.000211,2.945945
5.956548,2.921427
5.912886,2.896909
5.869223,2.872391
5.825561,2.847873
5.781899,2.823355
5.752712,2.806966
5.72093,2.789119
5.68577,2.769375
5.645069,2.74652
5.599107,2.720711
5.547009,2.691456
5.484527,2.65637
5.424844,2.637914
5.423469,2.705123
5.422248,2.76481
5.421161,2.817932
5.42021,2.864438
5.419322,2.907827
5.418515,2.947303
5.417829,2.980828
5.417178,3.012647
5.416128,3.063964
5.415078,3.115281
5.414028,3.166598
5.412978,3.217915
5.411928,3.269232
5.410218,3.352856
5.409193,3.402921
5.408169,3.452986
5.406123,3.553018
5.404076,3.65305
5.40203,3.753081
5.399983,3.853113
5.402788,3.953083
5.407072,4.053045
5.411355,4.153008
5.415639,4.25297
5.419922,4.352932
5.424205,4.452894
5.428489,4.552857
5.432772,4.652819
5.437055,4.752781
5.441339,4.852743
5.445622,4.952705
5.449906,5.052667
5.454189,5.15263
5.456328,5.202548
5.458467,5.252467
5.460606,5.302385
5.462736,5.352099
5.465008,5.405111
5.467306,5.458746
5.469919,5.519715
5.472907,5.589455
5.415857,5.60432
5.359262,5.60688
5.309781,5.609117
5.263881,5.611193
5.2203,5.613164
5.169179,5.615476
5.118058,5.617788
5.026931,5.621909
4.977005,5.624167
4.877055,5.628687
4.777104,5.633207
4.677154,5.637727
4.577203,5.642247
4.527277,5.644505
4.477351,5.646763
4.427424,5.649021
4.377498,5.651279
4.327571,5.653537
4.275378,5.655897
4.218867,5.658453
4.154459,5.661365
4.080189,5.664724
4.018392,5.640744
4.019921,5.548906
4.021091,5.478622
4.022128,5.416295
4.022972,5.365612
4.023804,5.315641
4.024636,5.26567
4.025467,5.215699
4.026299,5.165728
4.027965,5.065689
4.02963,4.96565
4.031295,4.865612
4.03296,4.765573
4.034626,4.665534
4.036252,4.567811
4.03709,4.517502
4.037927,4.467193
4.038765,4.416883
4.039602,4.366574
4.04044,4.316262
4.04137,4.26037
4.042451,4.195443
4.043726,4.118873
3.988235,4.094286
3.913899,4.102108
3.849988,4.108833
3.793896,4.114735
3.743843,4.120002
3.694055,4.125241
3.644256,4.130481
3.594456,4.135721
3.544656,4.140961
3.494856,4.146201
3.395352,4.156671
3.295849,4.167142
3.196346,4.177612
3.096842,4.188082
2.997339,4.198552
2.947539,4.203793
2.897738,4.209033
2.847918,4.214275
2.799968,4.219321
2.747451,4.224847
2.688658,4.231033
2.657537,4.269218
2.65343,4.325124
2.649801,4.374526
2.646625,4.417767
2.643575,4.459286
2.639895,4.509396
2.636214,4.559505
2.632533,4.609615
2.625298,4.70812
2.617968,4.807904
2.610639,4.907688
2.603309,5.007471
2.59598,5.107255
