x_m,y_m
1.400001,3.394607
1.400012,3.294493
1.400024,3.194359
1.400036,3.094226
1.400048,2.994092
1.400060,2.893958
1.400071,2.793825
1.400083,2.693691
1.400095,2.593558
1.400106,2.493424
1.399961,2.393291
1.399174,2.293157
1.397576,2.193023
1.395415,2.092890
1.392335,1.992756
1.388491,1.892621
1.384708,1.792487
1.380767,1.692353
1.379073,1.642300
1.377642,1.592246
1.376518,1.542191
1.375393,1.455632
1.375259,1.410354
1.376138,1.356104
1.379532,1.292829
1.394360,1.231692
1.469707,1.227877
1.534123,1.225626
1.588733,1.225102
1.634142,1.225398
1.684198,1.225706
1.734255,1.226357
1.784315,1.227334
1.884460,1.230110
1.984611,1.233645
2.084762,1.237458
2.184912,1.240787
2.285057,1.243332
2.385199,1.245101
2.485336,1.245645
2.585471,1.245515
2.685603,1.245095
2.785736,1.244655
2.885868,1.244215
2.986001,1.243775
3.086134,1.243335
3.186266,1.242895
3.286399,1.242455
3.386532,1.242015
3.486664,1.241575
3.586797,1.241135
3.686929,1.240695
3.787062,1.240255
3.887195,1.239815
3.987327,1.239375
4.087460,1.238935
4.187593,1.238495
4.287725,1.238055
4.387858,1.237615
4.487990,1.237175
4.588123,1.236735
4.688256,1.236295
4.788388,1.235855
4.888521,1.235415
4.988654,1.234975
5.088786,1.234535
5.188919,1.234095
5.289051,1.233655
5.389184,1.233215
5.489317,1.232775
5.589449,1.232335
5.689582,1.231895
5.789715,1.231455
5.889847,1.231015
5.989980,1.230575
6.090112,1.230135
6.190245,1.229695
6.290378,1.229255
6.390510,1.228815
6.490643,1.228375
6.590776,1.227935
6.690908,1.227495
6.791041,1.227055
6.891173,1.226615
6.991306,1.226175
7.091439,1.225735
7.191571,1.225295
7.291704,1.224855
7.391837,1.224415
7.491969,1.223975
7.592102,1.223535
7.692234,1.223095
7.742288,1.222875
7.842420,1.222435
7.942553,1.221995
8.042686,1.221555
8.142818,1.221115
8.242951,1.220675
8.343084,1.220235
8.443216,1.219795
8.543349,1.219355
8.643481,1.218915
8.743614,1.218475
8.843747,1.218035
8.943879,1.217595
9.044012,1.217155
9.144145,1.216715
9.244277,1.216275
9.344410,1.215835
9.444542,1.215395
9.544675,1.214955
9.644808,1.214515
9.744940,1.214044
9.845071,1.213224
9.945199,1.211580
10.045320,1.208760
10.145439,1.204936
10.245553,1.200643
10.345669,1.196242
10.445785,1.191785
10.545903,1.188139
10.595951,1.186748
10.646000,1.185693
10.696051,1.185002
10.733410,1.184732
10.778913,1.184922
10.835354,1.186742
10.900861,1.190093
10.920694,1.240308
10.924098,1.299886
10.924971,1.351351
10.924866,1.394496
10.923791,1.482121
10.922977,1.532175
10.921833,1.582229
10.920396,1.632283
10.916822,1.732417
10.912686,1.832550
10.908767,1.932705
10.905756,2.033009
10.903105,2.133244
10.900672,2.183551
10.884613,2.231567
10.853623,2.326706
10.823268,2.422135
10.793120,2.517622
10.762981,2.613113
10.732841,2.708603
10.702702,2.804093
10.672562,2.899583
10.642423,2.995073
10.612283,3.090563
10.582143,3.186053
10.552004,3.281543
10.521864,3.377033
10.506701,3.425073
10.495451,3.474205
10.495430,3.573883
10.495408,3.674016
10.495386,3.774150
10.495365,3.874284
10.495343,3.974417
10.495321,4.074551
10.495300,4.174684
10.495278,4.274818
10.495256,4.374951
10.495320,4.475085
10.495990,4.575219
10.497664,4.675353
10.500478,4.775487
10.503938,4.875621
10.508177,4.975756
10.512391,5.075891
10.516026,5.176025
10.518638,5.276159
10.519454,5.326213
10.519907,5.376269
10.520001,5.412774
10.519737,5.454869
10.517966,5.502072
10.514872,5.554766
10.474515,5.583580
10.421090,5.594975
10.373390,5.603980
10.332342,5.610893
10.282913,5.618799
10.233423,5.626349
10.183912,5.633765
10.084741,5.647884
9.985415,5.661079
9.886004,5.673781
9.786593,5.686488
9.687274,5.699730
9.588725,5.717507
9.490386,5.736506
9.392023,5.755373
9.293642,5.774132
9.195197,5.792518
9.145943,5.801441
9.095154,5.810280
9.039131,5.819173
8.976432,5.828696
8.936189,5.785190
8.904488,5.737333
8.875644,5.692186
8.848377,5.648618
8.798026,5.567344
8.745472,5.482092
8.693267,5.396616
8.641184,5.311062
8.588739,5.225739
8.536097,5.140543
8.483002,5.055637
8.428868,4.971398
8.375504,4.888129
8.348453,4.845387
8.328529,4.813601
8.313948,4.778278
8.317348,4.738745
8.320830,4.700773
8.325793,4.651026
8.336403,4.551388
8.347535,4.451786
8.358695,4.352187
8.369369,4.252553
8.378801,4.156176
8.383474,4.105849
8.387973,4.055508
8.392095,4.005164
8.395871,3.954213
8.398803,3.906429
8.400711,3.850740
8.401124,3.786688
8.348895,3.766174
8.291227,3.760684
8.240419,3.757277
8.201610,3.755590
8.166197,3.754177
8.116143,3.752502
8.066076,3.751190
8.015992,3.750218
7.915814,3.749139
7.815601,3.748879
7.715374,3.748955
7.615163,3.748630
7.564837,3.748177
7.515601,3.747502
7.462637,3.745496
7.411221,3.760196
7.373492,3.800988
7.307399,3.873004
7.273455,3.910135
7.205988,3.984131
7.138888,4.058462
7.072210,4.133185
7.005670,4.208032
6.939249,4.282991
6.873193,4.358284
6.807284,4.433716
6.741281,4.509059
6.674867,4.584024
6.641479,4.621322
6.577621,4.692255
6.540603,4.732378
6.500650,4.774779
6.445346,4.794376
6.383637,4.774064
6.334094,4.756914
6.287824,4.740227
6.240901,4.722742
6.194185,4.704647
6.101083,4.667405
6.008207,4.629506
5.915356,4.591523
5.822506,4.553544
5.729385,4.516360
5.682611,4.498360
5.635699,4.480766
5.588753,4.463665
5.539351,4.446348
5.500607,4.433412
5.457704,4.420144
5.414011,4.415252
5.384814,4.448157
5.358305,4.479332
5.334848,4.508643
5.315459,4.533469
5.296145,4.558355
5.240865,4.630903
5.210880,4.671033
5.151565,4.751777
5.092861,4.833003
5.034461,4.914470
4.975871,4.995785
4.916915,5.076812
4.857363,5.157370
4.796824,5.237151
4.735777,5.316533
4.674521,5.395749
4.613047,5.474794
4.582299,5.514291
4.559011,5.544146
4.534217,5.575570
4.507546,5.609087
4.467865,5.617419
4.415147,5.620722
4.364094,5.623722
4.265875,5.629132
4.165884,5.634493
4.065894,5.639883
3.965868,5.644997
3.915654,5.647635
3.817182,5.652660
3.777666,5.652368
3.742193,5.630950
3.709573,5.611042
3.678059,5.591593
3.635498,5.565228
3.550753,5.511812
3.466554,5.457729
3.382609,5.403543
3.298908,5.349130
3.221544,5.285801
3.145303,5.221302
3.107279,5.189678
3.068647,5.158029
3.029667,5.126584
2.997676,5.101217
2.957985,5.070994
2.911198,5.037228
2.860826,5.026557
2.818877,5.062817
2.780786,5.097188
2.749916,5.127112
2.722995,5.154138
2.660699,5.218139
2.626333,5.254647
2.592303,5.291505
2.525014,5.365982
2.458583,5.441349
2.392097,5.516660
2.324783,5.591112
2.290713,5.627892
2.225634,5.696044
2.202875,5.719108
2.178548,5.743322
2.149877,5.770479
2.119523,5.798000
2.082539,5.803270
2.042285,5.791622
2.005892,5.779884
1.974231,5.769150
1.926951,5.752703
1.879780,5.735930
1.785677,5.701590
1.690109,5.671644
1.642180,5.657145
1.594350,5.642352
1.505584,5.613930
1.473705,5.603493
1.437277,5.591088
1.395523,5.575146
1.355265,5.555640
1.353194,5.510065
1.352029,5.467077
1.352174,5.428546
1.352771,5.396869
1.353831,5.346823
1.355181,5.296781
1.358856,5.196682
1.363560,5.096595
1.368861,4.996515
1.374256,4.896436
1.379006,4.796350
1.382925,4.696254
1.385664,4.596145
1.387529,4.496026
1.388751,4.395900
1.389882,4.295773
1.391013,4.195645
1.392144,4.095518
1.393275,3.995391
1.394406,3.895264
1.395537,3.795136
1.396668,3.695009
1.397799,3.594882
1.398930,3.494755
1.400001,3.394607
