x_m,y_m
1.849604,3.437443
1.849979,3.337295
1.849992,3.237145
1.850005,3.136995
1.850018,3.036844
1.850032,2.936694
1.850045,2.836544
1.850058,2.736394
1.850071,2.636243
1.850084,2.536093
1.850098,2.435943
1.850111,2.335793
1.850124,2.235642
1.850137,2.135492
1.85015,2.035342
1.850163,1.935192
1.850177,1.835042
1.85019,1.734891
1.85019,1.734891
1.85019,1.734891
1.85019,1.734891
1.85019,1.734891
1.85019,1.734891
1.85019,1.734891
1.85019,1.734891
1.85019,1.734891
1.85019,1.734891
1.85019,1.734891
1.85019,1.734891
1.85019,1.734891
1.85019,1.734891
1.85019,1.734891
1.85019,1.734891
1.85019,1.734891
1.94846,1.74011
2.048367,1.747083
2.148274,1.754057
2.248181,1.761031
2.348088,1.768005
2.447995,1.774979
2.547903,1.781953
2.64781,1.788927
2.747716,1.79314
2.82262,1.787839
2.896746,1.771537
2.966673,1.745846
3.034469,1.715411
3.125835,1.674394
3.217201,1.633378
3.308567,1.592362
3.399933,1.551345
3.491299,1.510329
3.582665,1.469313
3.674031,1.428297
3.765397,1.38728
3.856763,1.346264
3.948129,1.305248
3.948129,1.305248
3.948129,1.305248
3.948129,1.305248
3.948129,1.305248
3.948129,1.305248
3.948129,1.305248
3.948129,1.305248
3.948129,1.305248
3.948129,1.305248
3.948129,1.305248
3.948129,1.305248
4.027306,1.324372
4.027306,1.324372
4.027306,1.324372
4.027306,1.324372
4.095493,1.397725
4.16368,1.471078
4.231867,1.544431
4.290926,1.607964
4.351924,1.669694
4.42186,1.723673
4.500134,1.763253
4.586438,1.787121
4.674545,1.79355
4.760794,1.783164
4.841659,1.756466
4.933107,1.715692
5.024378,1.674465
5.115649,1.633238
5.20692,1.592011
5.298191,1.550784
5.389462,1.509557
5.480733,1.46833
5.572004,1.427103
5.663275,1.385876
5.754546,1.344649
5.845817,1.303422
5.937088,1.262195
6.028359,1.220968
6.11963,1.179741
6.210901,1.138514
6.210901,1.138514
6.302251,1.117456
6.302251,1.117456
6.302251,1.117456
6.302251,1.117456
6.302251,1.117456
6.302251,1.117456
6.302251,1.117456
6.302251,1.117456
6.302251,1.117456
6.302251,1.117456
6.302251,1.117456
6.393843,1.157965
6.485435,1.198475
6.577027,1.238984
6.668619,1.279493
6.760211,1.320002
6.851802,1.360512
6.943394,1.401021
7.034986,1.44153
7.126578,1.48204
7.21817,1.522549
7.309762,1.563058
7.401354,1.603567
7.492946,1.644077
7.584537,1.684586
7.676129,1.725095
7.767721,1.765604
7.859313,1.806114
7.950373,1.846388
8.046426,1.875373
8.146185,1.883881
8.24453,1.870327
8.339717,1.839084
8.432553,1.80196
8.525544,1.764775
8.618535,1.727589
8.711526,1.690404
8.804516,1.653219
8.897507,1.616033
8.990498,1.578848
9.083489,1.541662
9.17648,1.504477
9.269471,1.467292
9.362462,1.430106
9.455453,1.392921
9.548444,1.355735
9.641435,1.31855
9.641435,1.31855
9.641435,1.31855
9.641435,1.31855
9.641435,1.31855
9.641435,1.31855
9.641435,1.31855
9.641435,1.31855
9.641435,1.31855
9.641435,1.31855
9.641435,1.31855
9.641435,1.31855
9.641435,1.31855
9.713782,1.355474
9.713782,1.355474
9.713782,1.355474
9.774157,1.435381
9.834531,1.515287
9.894905,1.595193
9.95528,1.675099
10.015654,1.755006
10.076028,1.834912
10.136403,1.914818
10.196777,1.994724
10.257151,2.074631
10.317526,2.154537
10.3779,2.234443
10.3779,2.234443
10.3779,2.234443
10.3779,2.234443
10.3779,2.234443
10.3779,2.234443
10.3779,2.234443
10.3779,2.234443
10.3779,2.234443
10.3779,2.234443
10.3779,2.234443
10.382359,2.323985
10.382359,2.323985
10.382359,2.323985
10.352214,2.419491
10.322069,2.514997
10.291924,2.610503
10.261778,2.706008
10.231633,2.801514
10.201488,2.89702
10.171343,2.992526
10.141198,3.088031
10.111053,3.183537
10.080908,3.279043
10.058414,3.376535
10.045447,3.475496
10.045425,3.575646
10.045404,3.675796
10.045382,3.775947
10.04536,3.876097
10.045339,3.976247
10.045317,4.076397
10.045296,4.176548
10.045274,4.276698
10.045253,4.376848
10.045231,4.476998
10.045209,4.577149
10.045188,4.677299
10.045166,4.777449
10.045145,4.877599
10.045123,4.97775
10.045102,5.0779
10.04508,5.17805
10.04508,5.17805
10.04508,5.17805
10.04508,5.17805
10.04508,5.17805
10.04508,5.17805
10.04508,5.17805
10.04508,5.17805
10.04508,5.17805
10.04508,5.17805
10.04508,5.17805
10.04508,5.17805
10.04508,5.17805
10.04508,5.17805
10.04508,5.17805
9.946347,5.194837
9.847613,5.211624
9.74888,5.228411
9.650147,5.245197
9.551413,5.261984
9.45268,5.278771
9.353947,5.295558
9.255213,5.312345
9.255213,5.312345
9.255213,5.312345
9.171786,5.294494
9.171786,5.294494
9.171786,5.294494
9.171786,5.294494
9.171786,5.294494
9.171786,5.294494
9.171786,5.294494
9.171786,5.294494
9.171786,5.294494
9.171786,5.294494
9.171786,5.294494
9.171786,5.294494
9.144755,5.252341
9.117724,5.210188
9.063662,5.125883
9.009601,5.041578
8.955539,4.957272
8.901477,4.872967
8.847415,4.788662
8.793353,4.704357
8.793353,4.704357
8.793353,4.704357
8.793353,4.704357
8.793353,4.704357
8.793353,4.704357
8.776418,4.610552
8.776418,4.610552
8.783348,4.510642
8.790278,4.410732
8.797208,4.310822
8.804138,4.210911
8.811068,4.111001
8.817998,4.011091
8.824927,3.911181
8.83133,3.814884
8.824389,3.718469
8.798584,3.623886
8.752739,3.537035
8.687304,3.46048
8.605893,3.400048
8.511974,3.358976
8.409782,3.339952
8.309806,3.334813
8.209747,3.330551
8.109687,3.326289
8.009628,3.322027
7.909568,3.317765
7.809509,3.313503
7.709449,3.309241
7.60939,3.304979
7.60939,3.304979
7.585594,3.303965
7.561799,3.302952
7.537627,3.293176
7.515077,3.280513
7.515077,3.280513
7.427752,3.231477
7.340428,3.182441
7.253104,3.133405
7.16578,3.084369
7.078455,3.035333
6.991131,2.986297
6.903807,2.937261
6.816482,2.888225
6.729158,2.839189
6.641834,2.790153
6.55451,2.741117
6.467185,2.69208
6.379861,2.643044
6.292537,2.594008
6.205212,2.544972
6.117888,2.495936
6.030564,2.4469
5.943239,2.397864
5.855915,2.348828
5.768591,2.299792
5.681267,2.250756
5.623465,2.220569
5.563022,2.196146
5.500944,2.180797
5.43634,2.175663
5.371311,2.177995
5.307944,2.189484
5.245875,2.212894
5.18689,2.243801
5.138826,2.276767
5.096962,2.318771
5.058918,2.364094
5.028449,2.414038
5.004393,2.470571
4.985971,2.529076
4.978468,2.588333
4.97454,2.648044
4.972492,2.748173
4.970444,2.848302
4.968395,2.948432
4.966347,3.048561
4.964299,3.14869
4.962251,3.24882
4.960203,3.348949
4.958154,3.449078
4.956106,3.549207
4.954058,3.649337
4.95201,3.749466
4.949962,3.849595
4.953088,3.949668
4.957324,4.049729
4.961559,4.149789
4.965795,4.24985
4.970031,4.349911
4.974267,4.449971
4.978502,4.550032
4.982738,4.650092
4.986974,4.750153
4.991209,4.850214
4.995445,4.950274
4.999681,5.050335
5.003916,5.150396
5.003916,5.150396
5.003916,5.150396
5.003916,5.150396
5.003916,5.150396
5.003916,5.150396
5.003916,5.150396
5.003916,5.150396
5.003916,5.150396
5.003916,5.150396
5.003916,5.150396
5.003916,5.150396
5.003916,5.150396
5.003916,5.150396
5.003916,5.150396
5.003916,5.150396
4.926854,5.175977
4.926854,5.175977
4.826806,5.180501
4.726758,5.185025
4.62671,5.189549
4.526662,5.194073
4.526662,5.194073
4.526662,5.194073
4.526662,5.194073
4.526662,5.194073
4.526662,5.194073
4.520692,5.194343
4.514722,5.194613
4.508752,5.194883
4.502782,5.195153
4.490107,5.195726
4.476284,5.170893
4.476482,5.158986
4.47668,5.14708
4.47668,5.14708
4.47668,5.14708
4.47668,5.14708
4.47668,5.14708
4.47668,5.14708
4.478346,5.046944
4.480012,4.946807
4.481678,4.846671
4.483344,4.746535
4.48501,4.646398
4.486677,4.546262
4.488343,4.446125
4.490009,4.345989
4.491675,4.245853
4.493341,4.145716
4.489846,4.048649
4.470762,3.953008
4.431001,3.863243
4.372491,3.784104
4.296753,3.718626
4.207725,3.671249
4.109255,3.644653
4.005888,3.640866
3.906216,3.650428
3.80664,3.660906
3.70704,3.671387
3.607439,3.681868
3.507839,3.692349
3.408239,3.70283
3.308638,3.713311
3.209038,3.723792
3.109438,3.734273
3.009837,3.744754
2.910237,3.755235
2.810637,3.765716
2.711037,3.776197
2.61145,3.786779
2.522993,3.807905
2.43986,3.844201
2.366061,3.896165
2.304629,3.961156
2.258227,4.03469
2.226987,4.114452
2.212344,4.195469
2.205685,4.27793
2.198348,4.377811
2.191012,4.477692
2.183675,4.577573
2.176338,4.677454
2.169002,4.777336
2.161665,4.877217
2.154329,4.977098
2.146992,5.076979
2.146992,5.076979
2.146992,5.076979
2.146992,5.076979
2.146992,5.076979
2.146992,5.076979
2.146992,5.076979
2.146992,5.076979
2.146992,5.076979
2.146992,5.076979
2.146992,5.076979
2.146992,5.076979
2.146992,5.076979
2.146992,5.076979
2.146992,5.076979
2.146992,5.076979
2.071286,5.102444
2.071286,5.102444
2.071286,5.102444
1.971142,5.10131
1.870999,5.100175
1.870999,5.100175
1.870999,5.100175
1.870999,5.100175
1.870999,5.100175
1.870999,5.100175
1.870999,5.100175
1.870999,5.100175
1.870999,5.100175
1.870999,5.100175
1.870999,5.100175
1.870999,5.100175
1.870999,5.100175
1.870999,5.100175
1.831507,5.039745
1.831507,5.039745
1.831507,5.039745
1.831507,5.039745
1.832638,4.939601
1.83377,4.839457
1.834901,4.739313
1.836032,4.639169
1.837163,4.539026
1.838294,4.438882
1.839425,4.338738
1.840556,4.238594
1.841687,4.13845
1.842818,4.038306
1.843949,3.938162
1.84508,3.838019
1.846211,3.737875
1.847342,3.637731
1.848473,3.537587
1.849604,3.437443
