x_m,y_m
1.749986,3.359029
1.749998,3.258871
1.750011,3.158712
1.750024,3.058553
1.750037,2.958394
1.75005,2.858236
1.750062,2.758077
1.750075,2.657918
1.750088,2.55776
1.750101,2.457601
1.750113,2.357442
1.750126,2.257283
1.750139,2.157125
1.750152,2.056966
1.750164,1.956807
1.750177,1.856649
1.75019,1.75649
1.750203,1.656331
1.750203,1.656331
1.750203,1.656331
1.750203,1.656331
1.793247,1.599021
1.793247,1.599021
1.793247,1.599021
1.793247,1.599021
1.793247,1.599021
1.793247,1.599021
1.793247,1.599021
1.793247,1.599021
1.793247,1.599021
1.793247,1.599021
1.793247,1.599021
1.793247,1.599021
1.893405,1.598581
1.993563,1.598141
2.09372,1.5977
2.193878,1.59726
2.294036,1.59682
2.394194,1.59638
2.494351,1.59594
2.594509,1.5955
2.694667,1.59506
2.794825,1.59462
2.894982,1.594179
2.99514,1.593739
3.095298,1.593299
3.195456,1.592859
3.295613,1.592419
3.395771,1.591979
3.495929,1.591539
3.596087,1.591098
3.696244,1.590658
3.796402,1.590218
3.89656,1.589778
3.996718,1.589338
4.096875,1.588898
4.197033,1.588458
4.297191,1.588017
4.397349,1.587577
4.497506,1.587137
4.597664,1.586697
4.697822,1.586257
4.79798,1.585817
4.898137,1.585377
4.998295,1.584937
5.098453,1.584496
5.198611,1.584056
5.298768,1.583616
5.398926,1.583176
5.499084,1.582736
5.599242,1.582296
5.699399,1.581856
5.799557,1.581415
5.899715,1.580975
5.999873,1.580535
6.10003,1.580095
6.200188,1.579655
6.300346,1.579215
6.400504,1.578775
6.500661,1.578335
6.600819,1.577894
6.700977,1.577454
6.801135,1.577014
6.901292,1.576574
7.00145,1.576134
7.101608,1.575694
7.201766,1.575254
7.301923,1.574813
7.402081,1.574373
7.502239,1.573933
7.602397,1.573493
7.702555,1.573053
7.702555,1.573053
7.802712,1.572613
7.90287,1.572173
8.003028,1.571732
8.103186,1.571292
8.203343,1.570852
8.303501,1.570412
8.403659,1.569972
8.503817,1.569532
8.603974,1.569092
8.704132,1.568652
8.80429,1.568211
8.904448,1.567771
9.004605,1.567331
9.104763,1.566891
9.204921,1.566451
9.305079,1.566011
9.405236,1.565571
9.505394,1.56513
9.605552,1.56469
9.70571,1.56425
9.805867,1.56381
9.906025,1.56337
10.006183,1.56293
10.106341,1.56249
10.206498,1.562049
10.306656,1.561609
10.406814,1.561169
10.506972,1.560729
10.506972,1.560729
10.506972,1.560729
10.506972,1.560729
10.506972,1.560729
10.506972,1.560729
10.506972,1.560729
10.506972,1.560729
10.506972,1.560729
10.506972,1.560729
10.506972,1.560729
10.506972,1.560729
10.55,1.61767
10.55,1.61767
10.55,1.61767
10.55,1.61767
10.55,1.717829
10.55,1.817987
10.55,1.918146
10.55,2.018305
10.55,2.118463
10.55,2.118463
10.55,2.118463
10.521841,2.214284
10.491694,2.309798
10.461547,2.405312
10.431399,2.500825
10.401252,2.596339
10.371105,2.691853
10.340957,2.787367
10.31081,2.882881
10.280663,2.978395
10.250515,3.073909
10.220368,3.169423
10.190221,3.264937
10.160782,3.361182
10.145605,3.459625
10.145429,3.559772
10.145407,3.659931
10.145385,3.760089
10.145364,3.860248
10.145342,3.960407
10.14532,4.060565
10.145298,4.160724
10.145277,4.260883
10.145255,4.361042
10.145233,4.4612
10.145212,4.561359
10.14519,4.661518
10.145168,4.761676
10.145147,4.861835
10.145125,4.961994
10.145103,5.062153
10.145082,5.162311
10.14506,5.26247
10.14506,5.26247
10.14506,5.26247
10.14506,5.26247
10.14506,5.26247
10.14506,5.26247
10.14506,5.26247
10.14506,5.26247
10.14506,5.26247
10.14506,5.26247
10.14506,5.26247
10.14506,5.26247
10.14506,5.26247
10.14506,5.26247
10.046319,5.279259
9.947577,5.296049
9.848836,5.312838
9.750094,5.329628
9.651353,5.346417
9.552611,5.363207
9.45387,5.379996
9.355128,5.396785
9.256387,5.413575
9.157645,5.430364
9.157645,5.430364
9.157645,5.430364
9.157645,5.430364
9.157645,5.430364
9.157645,5.430364
9.157645,5.430364
9.157645,5.430364
9.157645,5.430364
9.096432,5.362224
9.042366,5.277912
8.988299,5.1936
8.934233,5.109287
8.880166,5.024975
8.8261,4.940662
8.772034,4.85635
8.717967,4.772037
8.670951,4.685921
8.670951,4.685921
8.670951,4.685921
8.670951,4.685921
8.670951,4.685921
8.670951,4.685921
8.670951,4.685921
8.677881,4.586002
8.684812,4.486084
8.691742,4.386165
8.698673,4.286246
8.705603,4.186328
8.712534,4.086409
8.719464,3.98649
8.726391,3.886614
8.731219,3.786593
8.721035,3.710298
8.695369,3.637345
8.654214,3.57175
8.599901,3.517038
8.537167,3.476505
8.468369,3.450258
8.398997,3.438912
8.328297,3.435692
8.228229,3.431429
8.128161,3.427166
8.028093,3.422903
7.928025,3.41864
7.827957,3.414378
7.727889,3.410115
7.627821,3.405852
7.527753,3.401589
7.43054,3.398376
7.333908,3.412736
7.241281,3.452594
7.162271,3.519422
7.094406,3.593084
7.026542,3.666747
6.958678,3.74041
6.890813,3.814072
6.822949,3.887735
6.755084,3.961398
6.68722,4.03506
6.619356,4.108723
6.551491,4.182386
6.483627,4.256048
6.415762,4.329711
6.415762,4.329711
6.340682,4.375033
6.340682,4.375033
6.340682,4.375033
6.340682,4.375033
6.340682,4.375033
6.340682,4.375033
6.340682,4.375033
6.340682,4.375033
6.340682,4.375033
6.245852,4.342796
6.151023,4.310559
6.056194,4.278323
5.961365,4.246086
5.866536,4.213849
5.771707,4.181612
5.676878,4.149376
5.582289,4.117221
5.485324,4.092056
5.419884,4.085752
5.355245,4.091462
5.29618,4.110099
5.24051,4.139495
5.191126,4.176734
5.148096,4.220345
5.110759,4.267755
5.073421,4.315165
5.011452,4.393852
4.949483,4.472538
4.887514,4.551225
4.825544,4.629911
4.763575,4.708598
4.701606,4.787284
4.639636,4.865971
4.577667,4.944658
4.515698,5.023344
4.453728,5.102031
4.391759,5.180717
4.32979,5.259404
4.32979,5.259404
4.32979,5.259404
4.32979,5.259404
4.32979,5.259404
4.32979,5.259404
4.32979,5.259404
4.32979,5.259404
4.234345,5.274007
4.134361,5.279921
4.034377,5.285834
3.934393,5.291748
3.934393,5.291748
3.838971,5.278801
3.838971,5.278801
3.838971,5.278801
3.838971,5.278801
3.838971,5.278801
3.838971,5.278801
3.752742,5.227847
3.666512,5.176894
3.580283,5.125941
3.494053,5.074987
3.413649,5.015541
3.335065,4.953443
3.25648,4.891344
3.177896,4.829245
3.099311,4.767147
3.036693,4.727974
2.966327,4.701469
2.890776,4.690445
2.81405,4.696147
2.741939,4.717832
2.676225,4.754305
2.619582,4.800229
2.567271,4.850649
2.495156,4.920156
2.423042,4.989663
2.350927,5.05917
2.278812,5.128677
2.206698,5.198185
2.134583,5.267692
2.062469,5.337199
2.062469,5.337199
1.983943,5.378385
1.983943,5.378385
1.983943,5.378385
1.983943,5.378385
1.983943,5.378385
1.983943,5.378385
1.983943,5.378385
1.983943,5.378385
1.983943,5.378385
1.983943,5.378385
1.983943,5.378385
1.888923,5.346714
1.793903,5.315043
1.793903,5.315043
