x_m,y_m
1.749986,3.359029
1.749998,3.258871
1.750011,3.158712
1.750024,3.058553
1.750037,2.958394
1.75005,2.858236
1.750062,2.758077
1.750075,2.657918
1.750088,2.55776
1.750089,2.457603
1.748859,2.357570
1.742516,2.258063
1.729719,2.159219
1.712436,2.060838
1.687838,1.963209
1.657173,1.866209
1.626994,1.769162
1.595549,1.672249
1.581267,1.649559
1.572589,1.623809
1.569939,1.597543
1.606597,1.530925
1.612911,1.512799
1.621841,1.495969
1.632747,1.479689
1.645349,1.464387
1.659715,1.450129
1.675479,1.437371
1.692953,1.427729
1.712657,1.421969
1.736617,1.417335
1.762805,1.418231
1.788861,1.425315
1.889657,1.450597
1.990613,1.481945
2.091626,1.515516
2.192550,1.545224
2.293314,1.568648
2.393924,1.585882
2.494283,1.593300
2.594505,1.595334
2.694667,1.59506
2.794825,1.59462
2.894982,1.594179
2.99514,1.593739
3.095298,1.593299
3.195456,1.592859
3.295613,1.592419
3.395771,1.591979
3.495929,1.591539
3.596087,1.591098
3.696244,1.590658
3.796402,1.590218
3.89656,1.589778
3.996718,1.589338
4.096875,1.588898
4.197033,1.588458
4.297191,1.588017
4.397349,1.587577
4.497506,1.587137
4.597664,1.586697
4.697822,1.586257
4.79798,1.585817
4.898137,1.585377
4.998295,1.584937
5.098453,1.584496
5.198611,1.584056
5.298768,1.583616
5.398926,1.583176
5.499084,1.582736
5.599242,1.582296
5.699399,1.581856
5.799557,1.581415
5.899715,1.580975
5.999873,1.580535
6.10003,1.580095
6.200188,1.579655
6.300346,1.579215
6.400504,1.578775
6.500661,1.578335
6.600819,1.577894
6.700977,1.577454
6.801135,1.577014
6.901292,1.576574
7.00145,1.576134
7.101608,1.575694
7.201766,1.575254
7.301923,1.574813
7.402081,1.574373
7.502239,1.573933
7.602397,1.573493
7.702555,1.573053
7.702555,1.573053
7.802712,1.572613
7.90287,1.572173
8.003028,1.571732
8.103186,1.571292
8.203343,1.570852
8.303501,1.570412
8.403659,1.569972
8.503817,1.569532
8.603974,1.569092
8.704132,1.568652
8.80429,1.568211
8.904448,1.567771
9.004605,1.567331
9.104763,1.566891
9.204921,1.566451
9.305079,1.566011
9.405236,1.565571
9.505394,1.56513
9.605552,1.56469
9.705736,1.564010
9.806233,1.560538
9.907463,1.550524
10.009735,1.531168
10.112897,1.503824
10.216470,1.472753
10.320138,1.440813
10.423848,1.408431
10.526836,1.382501
10.553470,1.377841
10.579040,1.379125
10.601498,1.385441
10.615430,1.392691
10.628206,1.401661
10.641094,1.412367
10.653334,1.424427
10.664706,1.437765
10.674910,1.452117
10.683708,1.467111
10.690188,1.483237
10.727482,1.548934
10.728564,1.574052
10.723780,1.600072
10.713030,1.624476
10.684458,1.723433
10.651398,1.822207
10.620076,1.921056
10.596038,2.020215
10.574926,2.119495
10.565990,2.121433
10.558738,2.121421
10.523597,2.214880
10.491760,2.309820
10.461547,2.405312
10.431399,2.500825
10.401252,2.596339
10.371105,2.691853
10.340957,2.787367
10.31081,2.882881
10.280663,2.978395
10.250515,3.073909
10.220368,3.169423
10.190221,3.264937
10.160782,3.361182
10.145605,3.459625
10.145429,3.559772
10.145407,3.659931
10.145385,3.760089
10.145364,3.860248
10.145342,3.960407
10.14532,4.060565
10.145298,4.160724
10.145277,4.260883
10.145255,4.361042
10.145915,4.461228
10.151424,4.561605
10.164964,4.662300
10.187598,4.763350
10.215413,4.864603
10.249447,4.966096
10.283295,5.067575
10.312500,5.168869
10.333528,5.269838
10.337130,5.297448
10.334256,5.323986
10.328604,5.341296
10.321114,5.357364
10.312262,5.372214
10.301852,5.386634
10.289216,5.401102
10.275124,5.414402
10.259916,5.426202
10.243010,5.435728
10.217918,5.443458
10.190346,5.445226
10.163092,5.441940
10.062199,5.437205
9.960553,5.425003
9.858502,5.408840
9.756450,5.392700
9.654829,5.380881
9.556897,5.405677
9.459964,5.440352
9.362926,5.473949
9.265801,5.506679
9.168375,5.536390
9.153297,5.541178
9.138387,5.542300
9.123793,5.539834
9.109579,5.535602
9.096473,5.528564
9.085081,5.519142
9.076143,5.506928
9.070097,5.492362
9.017894,5.416336
8.975572,5.323940
8.935961,5.229670
8.897319,5.134733
8.855836,5.041749
8.812814,4.949824
8.766254,4.860336
8.711553,4.776461
8.664707,4.690195
8.666317,4.688211
8.668991,4.686653
8.670951,4.685921
8.670951,4.685921
8.670951,4.685921
8.670951,4.685921
8.677881,4.586002
8.684812,4.486084
8.691742,4.386165
8.698673,4.286246
8.705603,4.186328
8.712534,4.086409
8.719464,3.98649
8.726391,3.886614
8.731219,3.786593
8.721035,3.710298
8.695369,3.637345
8.654214,3.57175
8.599901,3.517038
8.537167,3.476505
8.468369,3.450258
8.398997,3.438912
8.328297,3.435692
8.228229,3.431429
8.128161,3.427166
8.028093,3.422903
7.928025,3.41864
7.827957,3.414378
7.727889,3.410115
7.627821,3.405852
7.527753,3.401589
7.43054,3.398376
7.333908,3.412736
7.241281,3.452594
7.162271,3.519422
7.094406,3.593084
7.026542,3.666747
6.958678,3.74041
6.890813,3.814072
6.822949,3.887735
6.763114,3.969302
6.706308,4.053850
6.652322,4.141169
6.599495,4.229626
6.545931,4.317352
6.489180,4.401939
6.481762,4.416111
6.410692,4.469687
6.399400,4.480645
6.385804,4.488257
6.370376,4.492599
6.353792,4.491297
6.339592,4.485131
6.326712,4.476227
6.315844,4.462097
6.310562,4.442369
6.233030,4.371466
6.151023,4.310559
6.056194,4.278323
5.961365,4.246086
5.866536,4.213849
5.771707,4.181612
5.676878,4.149376
5.582289,4.117221
5.485324,4.092056
5.419884,4.085752
5.355245,4.091462
5.29618,4.110099
5.24051,4.139495
5.191126,4.176734
5.148096,4.220345
5.110759,4.267755
5.073421,4.315165
5.011452,4.393852
4.949483,4.472538
4.887514,4.551225
4.825544,4.629911
4.763575,4.708598
4.701606,4.787284
4.639636,4.865971
4.586197,4.951144
4.535694,5.038546
4.481080,5.122823
4.424773,5.205811
4.366696,5.287452
4.363924,5.294004
4.361168,5.298578
4.357756,5.302756
4.353860,5.306738
4.349312,5.309782
4.342388,5.312404
4.334880,5.313218
4.238873,5.324689
4.138499,5.326211
4.038147,5.327968
3.937597,5.327518
3.932621,5.325022
3.837397,5.305871
3.835097,5.302419
3.833695,5.298005
3.833567,5.292699
3.834777,5.286959
3.838507,5.279455
3.752742,5.227847
3.666512,5.176894
3.580283,5.125941
3.494053,5.074987
3.413649,5.015541
3.335065,4.953443
3.25648,4.891344
3.177896,4.829245
3.099311,4.767147
3.036693,4.727974
2.966327,4.701469
2.890776,4.690445
2.81405,4.696147
2.741939,4.717832
2.676225,4.754305
2.619582,4.800229
2.567271,4.850649
2.495156,4.920156
2.423042,4.989663
2.350927,5.05917
2.278812,5.128677
2.206698,5.198185
2.180447,5.311964
2.148005,5.419751
2.149343,5.449007
2.087683,5.516631
2.079163,5.530355
2.068741,5.542001
2.056605,5.552409
2.043057,5.560799
2.028899,5.566453
2.013741,5.569835
1.998179,5.569853
1.982811,5.568647
1.958111,5.561621
1.934823,5.548521
1.846071,5.495182
1.747043,5.477443
