x_m,y_m
0.950004,3.366739
0.950015,3.266784
0.950027,3.166829
0.950039,3.066874
0.95005,2.966919
0.950062,2.866964
0.950073,2.767009
0.950085,2.667054
0.950097,2.567099
0.950108,2.467144
0.95012,2.367189
0.950132,2.267234
0.950143,2.167279
0.950155,2.067324
0.950167,1.967369
0.950178,1.867414
0.95019,1.767459
0.950201,1.667504
0.950213,1.567549
0.950225,1.467594
0.950236,1.367639
0.950248,1.267684
0.95986,1.164318
0.99138,1.067005
1.043193,0.980302
1.11231,0.907919
1.194009,0.853484
1.285164,0.818248
1.380928,0.803644
1.477264,0.805018
1.576976,0.811979
1.676689,0.81894
1.776401,0.825901
1.876113,0.832862
1.975826,0.839823
2.075538,0.846784
2.17525,0.853744
2.274962,0.860705
2.374675,0.867666
2.474387,0.874627
2.574099,0.881588
2.673812,0.888549
2.673812,0.888549
2.673812,0.888549
2.673812,0.888549
2.673812,0.888549
2.673812,0.888549
2.765368,0.849686
2.856556,0.808749
2.947744,0.767812
3.038931,0.726875
3.130119,0.685939
3.221306,0.645002
3.312494,0.604065
3.403681,0.563128
3.494869,0.522191
3.586056,0.481254
3.677244,0.440318
3.768432,0.399381
3.859619,0.358444
3.926246,0.329532
3.994788,0.306262
4.069035,0.296159
4.144774,0.297724
4.220275,0.311574
4.292181,0.33727
4.356977,0.373135
4.414402,0.422318
4.48407,0.49386
4.552124,0.567069
4.620178,0.640279
4.688232,0.713489
4.756286,0.786698
4.756286,0.786698
4.756286,0.786698
4.756286,0.786698
4.756286,0.786698
4.756286,0.786698
4.756286,0.786698
4.756286,0.786698
4.756286,0.786698
4.756286,0.786698
4.756286,0.786698
4.756286,0.786698
4.756286,0.786698
4.842655,0.769001
4.842655,0.769001
4.933748,0.727854
5.024841,0.686708
5.115934,0.645561
5.207028,0.604415
5.298121,0.563269
5.389214,0.522122
5.480307,0.480976
5.5714,0.439829
5.662493,0.398683
5.753587,0.357537
5.84468,0.31639
5.935773,0.275244
6.026866,0.234097
6.082046,0.209173
6.139333,0.188916
6.198811,0.173082
6.259302,0.166349
6.32367,0.169426
6.387312,0.179739
6.447274,0.199013
6.50562,0.223312
6.597034,0.263742
6.688447,0.304172
6.77986,0.344603
6.871274,0.385033
6.962687,0.425463
7.0541,0.465893
7.145513,0.506324
7.236927,0.546754
7.32834,0.587184
7.419753,0.627614
7.511167,0.668044
7.60258,0.708475
7.693993,0.748905
7.785407,0.789335
7.87682,0.829765
7.968233,0.870196
8.059647,0.910626
8.151165,0.945195
8.151165,0.945195
8.151165,0.945195
8.151165,0.945195
8.151165,0.945195
8.151165,0.945195
8.151165,0.945195
8.151165,0.945195
8.151165,0.945195
8.243975,0.908082
8.336785,0.870969
8.429594,0.833856
8.522404,0.796743
8.615213,0.75963
8.708023,0.722517
8.800833,0.685404
8.893642,0.648291
8.986452,0.611178
9.079262,0.574065
9.172071,0.536952
9.264881,0.499839
9.35769,0.462726
9.4505,0.425613
9.54331,0.3885
9.636119,0.351387
9.721468,0.325718
9.810018,0.312301
9.899466,0.317692
9.985631,0.340568
10.063856,0.378801
10.132623,0.430641
10.189362,0.491965
10.239477,0.558294
10.299733,0.638046
10.359989,0.717797
10.420244,0.797548
10.4805,0.877299
10.540756,0.95705
10.601012,1.036801
10.661267,1.116552
10.721523,1.196303
10.781779,1.276054
10.842035,1.355805
10.90229,1.435557
10.962546,1.515308
11.022802,1.595059
11.083058,1.67481
11.143314,1.754561
11.203569,1.834312
11.24126,1.884197
11.277514,1.935168
11.306385,1.991629
11.329791,2.050613
11.343276,2.110474
11.347456,2.172431
11.345356,2.234535
11.333162,2.294589
11.305144,2.390444
11.275059,2.485763
11.244973,2.581083
11.214888,2.676403
11.184802,2.771723
11.154716,2.867042
11.124631,2.962362
11.094545,3.057682
11.06446,3.153001
11.034374,3.248321
11.004289,3.343641
10.974203,3.438961
10.945439,3.534484
10.945439,3.534484
10.945439,3.534484
10.945417,3.634439
10.945396,3.734394
10.945374,3.834349
10.945352,3.934304
10.945331,4.034259
10.945309,4.134214
10.945287,4.234169
10.945266,4.334124
10.945244,4.434079
10.945222,4.534034
10.9452,4.633989
10.945179,4.733944
10.945157,4.833899
10.945135,4.933854
10.945114,5.033809
10.945092,5.133764
10.94507,5.233719
10.945049,5.333674
10.945027,5.433629
10.945005,5.533584
10.94096,5.616932
10.92107,5.699192
10.885607,5.77799
10.835136,5.849477
10.770997,5.910537
10.695606,5.958119
10.61242,5.989836
10.52577,6.009224
10.427229,6.025979
10.328689,6.042734
10.230148,6.059489
10.131607,6.076244
10.033067,6.092999
9.934526,6.109754
9.835985,6.126509
9.737445,6.143264
9.638904,6.160019
9.540363,6.176775
9.441823,6.19353
9.343282,6.210285
9.244741,6.22704
9.146201,6.243795
9.074552,6.255977
9.002468,6.265596
8.928148,6.262741
8.854407,6.248634
8.781901,6.22222
8.715096,6.184672
8.657605,6.137778
8.609296,6.079627
8.553168,5.997045
8.499212,5.912905
8.445255,5.828764
8.391298,5.744623
8.337342,5.660482
8.283385,5.576341
8.229429,5.492201
8.175472,5.40806
8.121515,5.323919
8.067559,5.239778
8.013602,5.155637
7.959645,5.071497
7.921404,5.006096
7.889019,4.937784
7.87105,4.866552
7.865301,4.792238
7.868576,4.692463
7.875493,4.592747
7.882409,4.493032
7.889326,4.393317
7.896242,4.293601
7.896242,4.293601
7.877089,4.217191
7.877089,4.217191
7.877089,4.217191
7.877089,4.217191
7.877089,4.217191
7.877089,4.217191
7.877089,4.217191
7.877089,4.217191
7.877089,4.217191
7.877089,4.217191
7.877089,4.217191
7.877089,4.217191
7.877089,4.217191
7.877089,4.217191
7.877089,4.217191
7.877089,4.217191
7.777225,4.212937
7.677361,4.208683
7.577496,4.204429
7.477632,4.200174
7.403318,4.196298
