x_m,y_m
1.049634,3.430223
1.050008,3.330117
1.050020,3.230008
1.050031,3.129900
1.050043,3.029791
1.050055,2.929683
1.050066,2.829574
1.050078,2.729466
1.050089,2.629357
1.050101,2.529249
1.050113,2.429141
1.050124,2.329032
1.050136,2.228924
1.050148,2.128815
1.050159,2.028707
1.050171,1.928598
1.050183,1.828490
1.050194,1.728381
1.050206,1.628273
1.050218,1.528164
1.050229,1.428056
1.050241,1.327947
1.050691,1.243990
1.064537,1.160914
1.096821,1.081227
1.147931,1.011584
1.216185,0.955582
1.297208,0.918151
1.385372,0.902403
1.475249,0.900404
1.575357,0.899964
1.675464,0.899524
1.775572,0.899084
1.875679,0.898644
1.975787,0.898204
2.075894,0.897765
2.176002,0.897325
2.276109,0.896885
2.376217,0.896445
2.476324,0.896005
2.576432,0.895565
2.676539,0.895125
2.776647,0.894686
2.876754,0.894246
2.976862,0.893806
3.076969,0.893366
3.177077,0.892926
3.277184,0.892486
3.377292,0.892047
3.477399,0.891607
3.577507,0.891167
3.677614,0.890727
3.777722,0.890287
3.877829,0.889847
3.977937,0.889407
4.078044,0.888968
4.178152,0.888528
4.278259,0.888088
4.378367,0.887648
4.478474,0.887208
4.578582,0.886768
4.678689,0.886328
4.778797,0.885889
4.878904,0.885449
4.979012,0.885009
5.079119,0.884569
5.179227,0.884129
5.279334,0.883689
5.379442,0.883249
5.479549,0.882810
5.579657,0.882370
5.679764,0.881930
5.779872,0.881490
5.879979,0.881050
5.980087,0.880610
6.080194,0.880170
6.180302,0.879731
6.280409,0.879291
6.380517,0.878851
6.480624,0.878411
6.580732,0.877971
6.680839,0.877531
6.780947,0.877092
6.881054,0.876652
6.981162,0.876212
7.081269,0.875772
7.181377,0.875332
7.281484,0.874892
7.381592,0.874452
7.481699,0.874013
7.581807,0.873573
7.681914,0.873133
7.782022,0.872693
7.882129,0.872253
7.982237,0.871813
8.082344,0.871373
8.182452,0.870934
8.282559,0.870494
8.382667,0.870054
8.482774,0.869614
8.582882,0.869174
8.682989,0.868734
8.783097,0.868294
8.883204,0.867855
8.983312,0.867415
9.083419,0.866975
9.183527,0.866535
9.283634,0.866095
9.383742,0.865655
9.483849,0.865216
9.583957,0.864776
9.684064,0.864336
9.784172,0.863896
9.884279,0.863456
9.984387,0.863016
10.084494,0.862576
10.184602,0.862137
10.284709,0.861697
10.384816,0.861257
10.484924,0.860817
10.585031,0.860377
10.685139,0.859937
10.785246,0.859497
10.885354,0.859058
10.956309,0.864560
11.024087,0.882240
11.089484,0.916374
11.147476,0.964243
11.194797,1.024521
11.228131,1.094328
11.245273,1.169650
11.250000,1.246463
11.250000,1.346571
11.250000,1.446680
11.250000,1.546788
11.250000,1.646897
11.250000,1.747005
11.250000,1.847114
11.250000,1.947222
11.250000,2.047331
11.250000,2.147439
11.239590,2.246572
11.215089,2.343535
11.184957,2.439001
11.154825,2.534467
11.124693,2.629933
11.094561,2.725399
11.064429,2.820865
11.034297,2.916331
11.004165,3.011797
10.974033,3.107263
10.943901,3.202729
10.913769,3.298195
10.883637,3.393661
10.853505,3.489128
10.853505,3.489128
10.853505,3.489128
10.845424,3.587993
10.845403,3.688102
10.845381,3.788210
10.845360,3.888319
10.845338,3.988427
10.845316,4.088536
10.845295,4.188644
10.845273,4.288753
10.845252,4.388861
10.845230,4.488970
10.845209,4.589078
10.845187,4.689186
10.845166,4.789295
10.845144,4.889403
10.845122,4.989512
10.845101,5.089620
10.845079,5.189729
10.845058,5.289837
10.845036,5.389946
10.845015,5.490054
10.844505,5.562855
10.835855,5.634811
10.813425,5.701155
10.776694,5.762663
10.724352,5.819564
10.660030,5.864022
10.587407,5.893053
10.511280,5.910258
10.412588,5.927039
10.313896,5.943819
10.215204,5.960600
10.116512,5.977381
10.017820,5.994162
9.919128,6.010943
9.820436,6.027723
9.721744,6.044504
9.623052,6.061285
9.524360,6.078066
9.425668,6.094847
9.326976,6.111628
9.228284,6.128408
9.129592,6.145189
9.031804,6.161816
8.931280,6.162359
8.835232,6.136278
8.750045,6.084698
8.682456,6.011737
8.627765,5.928137
8.573726,5.843867
8.519686,5.759597
8.465646,5.675327
8.411607,5.591056
8.357567,5.506786
8.303528,5.422516
8.249488,5.338246
8.195449,5.253976
8.141409,5.169706
8.087370,5.085436
8.033330,5.001166
7.996762,4.937291
7.973462,4.866347
7.965148,4.791210
7.967215,4.715550
7.974143,4.615682
7.981070,4.515813
7.987998,4.415945
7.994925,4.316076
8.001853,4.216208
8.001980,4.122419
8.001980,4.122419
8.001980,4.122419
8.001980,4.122419
8.001980,4.122419
8.001980,4.122419
8.001980,4.122419
8.001980,4.122419
8.001980,4.122419
8.001980,4.122419
8.001980,4.122419
8.001980,4.122419
8.001980,4.122419
8.001980,4.122419
8.001980,4.122419
8.001980,4.122419
7.901962,4.118158
7.801944,4.113897
7.701927,4.109636
7.601909,4.105375
7.601909,4.105375
7.601909,4.105375
7.601909,4.105375
7.601909,4.105375
7.601909,4.105375
7.525506,4.158257
7.525506,4.158257
7.457676,4.231883
7.389846,4.305509
7.322017,4.379135
7.254187,4.452761
7.186357,4.526388
7.118527,4.600014
7.050697,4.673640
6.982867,4.747266
6.915038,4.820893
6.847208,4.894519
6.779378,4.968145
6.710348,5.039923
6.628540,5.097353
6.531771,5.131597
6.426321,5.134498
6.333382,5.111905
6.243187,5.081243
6.148405,5.049022
6.053624,5.016801
5.958842,4.984580
5.864061,4.952359
5.769280,4.920138
5.674498,4.887917
5.579717,4.855696
5.579717,4.855696
5.579717,4.855696
5.579717,4.855696
5.579717,4.855696
5.579717,4.855696
5.579717,4.855696
5.579717,4.855696
5.579717,4.855696
5.579717,4.855696
5.579717,4.855696
5.579717,4.855696
5.579717,4.855696
5.506581,4.896542
5.506581,4.896542
5.444643,4.975189
5.382705,5.053836
5.320767,5.132484
5.258829,5.211131
5.196891,5.289778
5.134953,5.368425
5.073015,5.447073
5.011077,5.525720
4.949139,5.604367
4.887201,5.683015
4.825264,5.761662
4.779072,5.820314
4.725966,5.873520
4.663878,5.916386
4.595381,5.944818
4.496252,5.959746
4.396588,5.965640
4.296654,5.971550
4.196720,5.977459
4.096787,5.983369
3.996853,5.989279
3.896919,5.995188
3.797012,6.000178
3.722097,5.991316
3.648365,5.972454
3.581852,5.939950
3.518316,5.902407
3.432130,5.851480
3.345943,5.800553
3.259756,5.749626
3.173570,5.698699
3.087791,5.647132
3.007806,5.587019
2.929260,5.524952
2.929260,5.524952
2.929260,5.524952
2.929260,5.524952
2.929260,5.524952
2.929260,5.524952
2.929260,5.524952
2.929260,5.524952
2.929260,5.524952
2.929260,5.524952
2.929260,5.524952
2.929260,5.524952
2.854789,5.545740
2.854789,5.545740
2.854789,5.545740
2.782710,5.615212
2.710631,5.684684
2.638553,5.754156
2.566474,5.823629
2.494396,5.893101
2.422317,5.962573
2.377217,6.006043
2.331374,6.048744
2.278909,6.084819
2.222048,6.113135
2.163541,6.129722
