x_m,y_m
1.049634,3.430223
1.050008,3.330117
1.050020,3.230008
1.050031,3.129900
1.050043,3.029791
1.050055,2.929683
1.050066,2.829574
1.050078,2.729466
1.050089,2.629357
1.050102,2.529249
1.050238,2.429128
1.050885,2.328954
1.052178,2.228715
1.053920,2.128428
1.056392,2.028067
1.059471,1.927642
1.062503,1.827223
1.065659,1.726789
1.067100,1.628950
1.067979,1.531416
1.068255,1.433935
1.068906,1.334757
1.068725,1.252612
1.081678,1.171219
1.112871,1.093160
1.162721,1.025047
1.229538,0.970471
1.308985,0.934316
1.395401,0.919532
1.483308,0.918109
1.581020,0.918132
1.678508,0.917603
1.776011,0.916455
1.876054,0.913442
1.976082,0.909824
2.076103,0.905983
2.176135,0.902529
2.276181,0.899702
2.376244,0.897495
2.476331,0.896269
2.576432,0.895582
2.676539,0.895125
2.776647,0.894686
2.876754,0.894246
2.976862,0.893806
3.076969,0.893366
3.177077,0.892926
3.277184,0.892486
3.377292,0.892047
3.477399,0.891607
3.577507,0.891167
3.677614,0.890727
3.777722,0.890287
3.877829,0.889847
3.977937,0.889407
4.078044,0.888968
4.178152,0.888528
4.278259,0.888088
4.378367,0.887648
4.478474,0.887208
4.578582,0.886768
4.678689,0.886328
4.778797,0.885889
4.878904,0.885449
4.979012,0.885009
5.079119,0.884569
5.179227,0.884129
5.279334,0.883689
5.379442,0.883249
5.479549,0.882810
5.579657,0.882370
5.679764,0.881930
5.779872,0.881490
5.879979,0.881050
5.980087,0.880610
6.080194,0.880170
6.180302,0.879731
6.280409,0.879291
6.380517,0.878851
6.480624,0.878411
6.580732,0.877971
6.680839,0.877531
6.780947,0.877092
6.881054,0.876652
6.981162,0.876212
7.081269,0.875772
7.181377,0.875332
7.281484,0.874892
7.381592,0.874452
7.481699,0.874013
7.581807,0.873573
7.681914,0.873133
7.782022,0.872693
7.882129,0.872253
7.982237,0.871813
8.082344,0.871373
8.182452,0.870934
8.282559,0.870494
8.382667,0.870054
8.482774,0.869614
8.582882,0.869174
8.682989,0.868734
8.783097,0.868294
8.883204,0.867855
8.983312,0.867415
9.083419,0.866975
9.183527,0.866535
9.283634,0.866095
9.383742,0.865655
9.483849,0.865216
9.583957,0.864776
9.684064,0.864336
9.784169,0.863920
9.884242,0.863783
9.984243,0.864301
10.084139,0.865752
10.183946,0.868004
10.283712,0.870627
10.383468,0.873337
10.483221,0.876091
10.583045,0.878200
10.680489,0.878226
10.778039,0.877657
10.875901,0.876587
10.945463,0.881364
11.011964,0.898147
11.076072,0.931210
11.132840,0.977873
11.179024,1.036817
11.211337,1.105189
11.227599,1.179012
11.231678,1.254212
11.232252,1.353445
11.232144,1.451042
11.232622,1.548548
11.233697,1.646216
11.236554,1.746445
11.239860,1.846692
11.242992,1.946931
11.245396,2.047140
11.247507,2.147336
11.237991,2.246275
11.214215,2.343239
11.184781,2.438941
11.154818,2.534465
11.124693,2.629933
11.094561,2.725399
11.064429,2.820865
11.034297,2.916331
11.004165,3.011797
10.974033,3.107263
10.943901,3.202729
10.913769,3.298195
10.883637,3.393661
10.853505,3.489128
10.853505,3.489128
10.853505,3.489128
10.845424,3.587993
10.845403,3.688102
10.845381,3.788210
10.845360,3.888319
10.845338,3.988427
10.845316,4.088536
10.845295,4.188644
10.845273,4.288753
10.845252,4.388861
10.845162,4.488967
10.844588,4.589053
10.843210,4.689108
10.840923,4.789128
10.838117,4.889126
10.834690,4.989102
10.831282,5.089078
10.828337,5.189073
10.826211,5.289100
10.825829,5.386448
10.826095,5.483903
10.826151,5.554972
10.818250,5.625322
10.796705,5.690181
10.761015,5.750247
10.709936,5.805701
10.647024,5.848829
10.575921,5.876680
10.501485,5.892932
10.405302,5.908940
10.309367,5.925543
10.213401,5.942653
10.114924,5.961586
10.016522,5.981267
9.918161,6.001343
9.819800,6.021416
9.721396,6.041058
9.622623,6.057038
9.523751,6.072030
9.424888,6.087131
9.326034,6.102318
9.227211,6.117805
9.130027,6.134108
9.033730,6.150622
8.934665,6.151412
8.840039,6.125754
8.756162,6.074878
8.689712,6.002859
8.635915,5.920481
8.582481,5.837667
8.527540,5.754186
8.472325,5.670724
8.416841,5.587449
8.361258,5.504241
8.305961,5.420839
8.250817,5.337330
8.196027,5.253577
8.142050,5.169264
8.087994,5.085009
8.033793,5.000937
7.996958,4.937218
7.974442,4.866093
7.968736,4.790675
7.974197,4.715256
7.987095,4.616988
8.008703,4.518596
8.032402,4.420415
8.056208,4.322240
8.078081,4.223870
8.089194,4.130340
8.094150,4.117748
8.096605,4.104492
8.095954,4.091829
8.092616,4.080680
8.088645,4.072748
8.083884,4.065122
8.078382,4.057914
8.072251,4.051271
8.065782,4.045417
8.058987,4.040260
8.052207,4.035948
8.044735,4.032443
8.032409,4.029485
8.018856,4.029435
8.005332,4.032621
7.904833,4.041098
7.804214,4.052852
7.703548,4.065946
7.602944,4.077441
7.599686,4.084278
7.598201,4.090079
7.596182,4.090574
7.594235,4.091484
7.592472,4.092797
7.516549,4.146515
7.515559,4.148459
7.449203,4.223537
7.384264,4.300012
7.320968,4.378102
7.253384,4.451971
7.184448,4.524509
7.115230,4.596769
7.045897,4.668916
6.976637,4.741136
6.907696,4.813670
6.840608,4.885879
6.772377,4.958680
6.704476,5.029362
6.624028,5.086031
6.528802,5.119840
6.425010,5.122872
6.333491,5.100895
6.244584,5.071124
6.150889,5.040316
6.056636,5.010067
5.960124,4.981713
5.867431,4.944822
5.782570,4.890409
5.697700,4.836005
5.611456,4.784671
5.603205,4.773229
5.592252,4.764569
5.580052,4.759386
5.567656,4.758123
5.559565,4.758622
5.551634,4.760085
5.544215,4.762338
5.536927,4.765350
5.530045,4.768906
5.523712,4.773256
5.517887,4.778179
5.512546,4.783983
5.441724,4.830695
5.437081,4.843646
5.385830,4.930434
5.337057,5.019104
5.289522,5.108715
5.241209,5.197729
5.191421,5.285618
5.134100,5.367776
5.071015,5.445553
5.008342,5.523641
4.945838,5.601858
4.883510,5.680210
4.821851,5.758202
4.775934,5.816397
4.723169,5.869185
4.661471,5.911653
4.593429,5.939780
4.494992,5.954446
4.396079,5.960259
4.296201,5.966482
4.196306,5.972830
4.096410,5.979156
3.996533,5.985702
3.897096,5.991861
3.797169,5.997471
3.722484,5.988954
3.648893,5.970534
3.582392,5.938560
3.518735,5.901591
3.432176,5.851415
3.352371,5.791503
3.274822,5.728412
3.197790,5.664591
3.121925,5.599061
3.051545,5.525430
2.980678,5.452538
2.972257,5.441696
2.961978,5.433404
2.950988,5.428125
2.942585,5.426105
2.933756,5.425072
2.924658,5.425159
2.915552,5.426342
2.906896,5.428592
2.898646,5.431713
2.891237,5.435968
2.884959,5.442429
2.813789,5.474420
2.810316,5.488460
2.811031,5.503483
2.758885,5.592208
2.710296,5.684360
2.633967,5.749729
2.557920,5.815374
2.485709,5.881920
2.411943,5.948748
2.367695,5.990846
2.322894,6.032382
2.271643,6.067417
2.216137,6.094894
2.159045,6.110915
