center_x_m,center_y_m,inner_x_m,inner_y_m,outer_x_m,outer_y_m
1.399976,3.402105,1.849604,3.437443,0.950004,3.366739
1.400012,3.302041,1.849979,3.337295,0.950015,3.266784
1.400023,3.201988,1.849992,3.237145,0.950027,3.166829
1.400035,3.101935,1.850005,3.136995,0.950039,3.066874
1.400047,3.001883,1.850018,3.036844,0.95005,2.966919
1.400059,2.90183,1.850032,2.936694,0.950062,2.866964
1.40007,2.801777,1.850045,2.836544,0.950073,2.767009
1.400082,2.701725,1.850058,2.736394,0.950085,2.667054
1.400094,2.601672,1.850071,2.636243,0.950097,2.567099
1.400106,2.501619,1.850084,2.536093,0.950108,2.467144
1.400118,2.401567,1.850098,2.435943,0.95012,2.367189
1.400129,2.301514,1.850111,2.335793,0.950132,2.267234
1.400141,2.201461,1.850124,2.235642,0.950143,2.167279
1.400153,2.101409,1.850137,2.135492,0.950155,2.067324
1.400165,2.001356,1.85015,2.035342,0.950167,1.967369
1.400177,1.901303,1.850163,1.935192,0.950178,1.867414
1.400188,1.801251,1.850177,1.835042,0.95019,1.767459
1.4002,1.701198,1.85019,1.734891,0.950201,1.667504
1.400206,1.651221,1.85019,1.734891,0.950213,1.567549
1.400212,1.601244,1.85019,1.734891,0.950225,1.467594
1.400218,1.551267,1.85019,1.734891,0.950236,1.367639
1.400224,1.50129,1.85019,1.734891,0.950248,1.267684
1.40023,1.446532,1.85019,1.734891,0.95986,1.164318
1.400237,1.384969,1.85019,1.734891,0.99138,1.067005
1.400246,1.314167,1.85019,1.734891,1.043193,0.980302
1.419391,1.252078,1.85019,1.734891,1.11231,0.907919
1.494662,1.257332,1.85019,1.734891,1.194009,0.853484
1.558569,1.261793,1.85019,1.734891,1.285164,0.818248
1.613733,1.265644,1.85019,1.734891,1.380928,0.803644
1.663388,1.26911,1.85019,1.734891,1.477264,0.805018
1.713335,1.272597,1.85019,1.734891,1.576976,0.811979
1.763282,1.276083,1.85019,1.734891,1.676689,0.81894
1.813228,1.27957,1.85019,1.734891,1.776401,0.825901
1.863175,1.283056,1.85019,1.734891,1.876113,0.832862
1.962143,1.289964,1.94846,1.74011,1.975826,0.839823
2.061952,1.296931,2.048367,1.747083,2.075538,0.846784
2.161762,1.303899,2.148274,1.754057,2.17525,0.853744
2.261572,1.310866,2.248181,1.761031,2.274962,0.860705
2.361382,1.317833,2.348088,1.768005,2.374675,0.867666
2.461191,1.3248,2.447995,1.774979,2.474387,0.874627
2.561001,1.331767,2.547903,1.781953,2.574099,0.881588
2.660811,1.338734,2.64781,1.788927,2.673812,0.888549
2.710877,1.342229,2.747716,1.79314,2.673812,0.888549
2.749328,1.344913,2.82262,1.787839,2.673812,0.888549
2.786179,1.333605,2.896746,1.771537,2.673812,0.888549
2.820573,1.318165,2.966673,1.745846,2.673812,0.888549
2.854548,1.302913,3.034469,1.715411,2.673812,0.888549
2.9456,1.262037,3.125835,1.674394,2.765368,0.849686
3.036877,1.22106,3.217201,1.633378,2.856556,0.808749
3.128154,1.180084,3.308567,1.592362,2.947744,0.767812
3.219431,1.139107,3.399933,1.551345,3.038931,0.726875
3.310708,1.098131,3.491299,1.510329,3.130119,0.685939
3.401984,1.057155,3.582665,1.469313,3.221306,0.645002
3.493261,1.016178,3.674031,1.428297,3.312494,0.604065
3.584538,0.975202,3.765397,1.38728,3.403681,0.563128
3.675815,0.934225,3.856763,1.346264,3.494869,0.522191
3.767092,0.893249,3.948129,1.305248,3.586056,0.481254
3.812686,0.872781,3.948129,1.305248,3.677244,0.440318
3.85828,0.852312,3.948129,1.305248,3.768432,0.399381
3.903874,0.831844,3.948129,1.305248,3.859619,0.358444
3.937176,0.816894,3.948129,1.305248,3.926246,0.329532
3.971661,0.801413,3.948129,1.305248,3.994788,0.306262
4.010591,0.783936,3.948129,1.305248,4.069035,0.296159
4.05365,0.764606,3.948129,1.305248,4.144774,0.297724
4.101923,0.743705,3.948129,1.305248,4.220275,0.311574
4.135053,0.779345,3.948129,1.305248,4.292181,0.33727
4.164777,0.811322,3.948129,1.305248,4.356977,0.373135
4.192959,0.841639,3.948129,1.305248,4.414402,0.422318
4.255687,0.909118,4.027306,1.324372,4.48407,0.49386
4.289713,0.945723,4.027306,1.324372,4.552124,0.567069
4.32374,0.982328,4.027306,1.324372,4.620178,0.640279
4.357767,1.018932,4.027306,1.324372,4.688232,0.713489
4.425887,1.092214,4.095493,1.397725,4.756286,0.786698
4.459981,1.12889,4.16368,1.471078,4.756286,0.786698
4.494074,1.165567,4.231867,1.544431,4.756286,0.786698
4.523604,1.197334,4.290926,1.607964,4.756286,0.786698
4.553507,1.229502,4.351924,1.669694,4.756286,0.786698
4.585829,1.264273,4.42186,1.723673,4.756286,0.786698
4.621072,1.302187,4.500134,1.763253,4.756286,0.786698
4.661572,1.344571,4.586438,1.787121,4.756286,0.786698
4.712876,1.321398,4.674545,1.79355,4.756286,0.786698
4.758612,1.300739,4.760794,1.783164,4.756286,0.786698
4.799897,1.282091,4.841659,1.756466,4.756286,0.786698
4.846564,1.261011,4.933107,1.715692,4.756286,0.786698
4.893164,1.239962,5.024378,1.674465,4.756286,0.786698
4.979153,1.201122,5.115649,1.633238,4.842655,0.769001
5.024788,1.180508,5.20692,1.592011,4.842655,0.769001
5.115971,1.139322,5.298191,1.550784,4.933748,0.727854
5.207153,1.098135,5.389462,1.509557,5.024841,0.686708
5.298335,1.056949,5.480733,1.46833,5.115934,0.645561
5.389517,1.015762,5.572004,1.427103,5.207028,0.604415
5.480699,0.974576,5.663275,1.385876,5.298121,0.563269
5.571882,0.933389,5.754546,1.344649,5.389214,0.522122
5.663064,0.892203,5.845817,1.303422,5.480307,0.480976
5.754246,0.851016,5.937088,1.262195,5.5714,0.439829
5.845428,0.80983,6.028359,1.220968,5.662493,0.398683
5.93661,0.768643,6.11963,1.179741,5.753587,0.357537
6.027793,0.727457,6.210901,1.138514,5.84468,0.31639
6.073339,0.706884,6.210901,1.138514,5.935773,0.275244
6.1618,0.666926,6.302251,1.117456,6.026866,0.234097
6.189942,0.654214,6.302251,1.117456,6.082046,0.209173
6.218694,0.641227,6.302251,1.117456,6.139333,0.188916
6.248609,0.627715,6.302251,1.117456,6.198811,0.173082
6.279579,0.615386,6.302251,1.117456,6.259302,0.166349
6.313258,0.630281,6.302251,1.117456,6.32367,0.169426
6.345163,0.644392,6.302251,1.117456,6.387312,0.179739
6.374873,0.657532,6.302251,1.117456,6.447274,0.199013
6.403935,0.670386,6.302251,1.117456,6.50562,0.223312
6.449642,0.690601,6.302251,1.117456,6.597034,0.263742
6.495348,0.710816,6.302251,1.117456,6.688447,0.304172
6.586851,0.751286,6.393843,1.157965,6.77986,0.344603
6.678354,0.791755,6.485435,1.198475,6.871274,0.385033
6.769856,0.832225,6.577027,1.238984,6.962687,0.425463
6.861359,0.872695,6.668619,1.279493,7.0541,0.465893
6.952861,0.913165,6.760211,1.320002,7.145513,0.506324
7.044364,0.953634,6.851802,1.360512,7.236927,0.546754
7.135866,0.994104,6.943394,1.401021,7.32834,0.587184
7.227369,1.034574,7.034986,1.44153,7.419753,0.627614
7.318872,1.075044,7.126578,1.48204,7.511167,0.668044
7.410374,1.115513,7.21817,1.522549,7.60258,0.708475
7.501877,1.155983,7.309762,1.563058,7.693993,0.748905
7.593379,1.196453,7.401354,1.603567,7.785407,0.789335
7.684882,1.236922,7.492946,1.644077,7.87682,0.829765
7.776385,1.277392,7.584537,1.684586,7.968233,0.870196
7.867887,1.317862,7.676129,1.725095,8.059647,0.910626
7.958298,1.357849,7.767721,1.765604,8.151165,0.945195
8.004368,1.378225,7.859313,1.806114,8.151165,0.945195
8.05017,1.398482,7.950373,1.846388,8.151165,0.945195
8.097755,1.419528,8.046426,1.875373,8.151165,0.945195
8.148589,1.430873,8.146185,1.883881,8.151165,0.945195
8.198179,1.411042,8.24453,1.870327,8.151165,0.945195
8.245442,1.392143,8.339717,1.839084,8.151165,0.945195
8.29186,1.373581,8.432553,1.80196,8.151165,0.945195
8.338356,1.354988,8.525544,1.764775,8.151165,0.945195
8.431256,1.317838,8.618535,1.727589,8.243975,0.908082
8.524156,1.280689,8.711526,1.690404,8.336785,0.870969
8.617057,1.24354,8.804516,1.653219,8.429594,0.833856
8.709957,1.206391,8.897507,1.616033,8.522404,0.796743
8.802857,1.169241,8.990498,1.578848,8.615213,0.75963
8.895757,1.132092,9.083489,1.541662,8.708023,0.722517
8.988658,1.094943,9.17648,1.504477,8.800833,0.685404
9.081558,1.057793,9.269471,1.467292,8.893642,0.648291
9.174458,1.020644,9.362462,1.430106,8.986452,0.611178
9.267358,0.983495,9.455453,1.392921,9.079262,0.574065
9.360258,0.946346,9.548444,1.355735,9.172071,0.536952
9.453159,0.909196,9.641435,1.31855,9.264881,0.499839
9.499563,0.89064,9.641435,1.31855,9.35769,0.462726
9.545968,0.872083,9.641435,1.31855,9.4505,0.425613
9.592373,0.853527,9.641435,1.31855,9.54331,0.3885
9.638777,0.834971,9.641435,1.31855,9.636119,0.351387
9.681804,0.817765,9.641435,1.31855,9.721468,0.325718
9.72846,0.799108,9.641435,1.31855,9.810018,0.312301
9.780742,0.778201,9.641435,1.31855,9.899466,0.317692
9.834792,0.769155,9.641435,1.31855,9.985631,0.340568
9.868397,0.813633,9.641435,1.31855,10.063856,0.378801
9.898623,0.853638,9.641435,1.31855,10.132623,0.430641
9.925785,0.889589,9.641435,1.31855,10.189362,0.491965
9.951793,0.924011,9.641435,1.31855,10.239477,0.558294
10.006758,0.996759,9.713782,1.355474,10.299733,0.638046
10.036886,1.036635,9.713782,1.355474,10.359989,0.717797
10.067014,1.076511,9.713782,1.355474,10.420244,0.797548
10.127329,1.156339,9.774157,1.435381,10.4805,0.877299
10.187643,1.236168,9.834531,1.515287,10.540756,0.95705
10.247958,1.315997,9.894905,1.595193,10.601012,1.036801
10.308273,1.395826,9.95528,1.675099,10.661267,1.116552
10.368588,1.475655,10.015654,1.755006,10.721523,1.196303
10.428902,1.555484,10.076028,1.834912,10.781779,1.276054
10.489217,1.635313,10.136403,1.914818,10.842035,1.355805
10.549532,1.715142,10.196777,1.994724,10.90229,1.435557
10.609847,1.794971,10.257151,2.074631,10.962546,1.515308
10.670161,1.8748,10.317526,2.154537,11.022802,1.595059
10.730476,1.954629,10.3779,2.234443,11.083058,1.67481
10.760604,1.994504,10.3779,2.234443,11.143314,1.754561
10.790732,2.034379,10.3779,2.234443,11.203569,1.834312
10.809577,2.059322,10.3779,2.234443,11.24126,1.884197
10.828606,2.084507,10.3779,2.234443,11.277514,1.935168
10.848838,2.111285,10.3779,2.234443,11.306385,1.991629
10.870075,2.139394,10.3779,2.234443,11.329791,2.050613
10.892009,2.168424,10.3779,2.234443,11.343276,2.110474
10.892897,2.201504,10.3779,2.234443,11.347456,2.172431
10.882485,2.234491,10.3779,2.234443,11.345356,2.234535
10.872668,2.265595,10.3779,2.234443,11.333162,2.294589
10.84375,2.357214,10.382359,2.323985,11.305144,2.390444
10.828707,2.404874,10.382359,2.323985,11.275059,2.485763
10.813664,2.452534,10.382359,2.323985,11.244973,2.581083
10.783549,2.547947,10.352214,2.419491,11.214888,2.676403
10.753434,2.643359,10.322069,2.514997,11.184802,2.771723
10.723319,2.738772,10.291924,2.610503,11.154716,2.867042
10.693204,2.834185,10.261778,2.706008,11.124631,2.962362
10.663088,2.929598,10.231633,2.801514,11.094545,3.057682
10.632973,3.02501,10.201488,2.89702,11.06446,3.153001
10.602858,3.120423,10.171343,2.992526,11.034374,3.248321
10.572743,3.215836,10.141198,3.088031,11.004289,3.343641
10.542628,3.311249,10.111053,3.183537,10.974203,3.438961
10.51254,3.406576,10.080908,3.279043,10.945439,3.534484
10.497352,3.454695,10.058414,3.376535,10.945439,3.534484
10.495445,3.50499,10.045447,3.475496,10.945439,3.534484
10.495423,3.605043,10.045425,3.575646,10.945417,3.634439
10.495401,3.705095,10.045404,3.675796,10.945396,3.734394
10.49538,3.805148,10.045382,3.775947,10.945374,3.834349
10.495358,3.905201,10.04536,3.876097,10.945352,3.934304
10.495336,4.005253,10.045339,3.976247,10.945331,4.034259
10.495315,4.105306,10.045317,4.076397,10.945309,4.134214
10.495293,4.205358,10.045296,4.176548,10.945287,4.234169
10.495271,4.305411,10.045274,4.276698,10.945266,4.334124
10.49525,4.405464,10.045253,4.376848,10.945244,4.434079
10.495228,4.505516,10.045231,4.476998,10.945222,4.534034
10.495206,4.605569,10.045209,4.577149,10.9452,4.633989
10.495185,4.705621,10.045188,4.677299,10.945179,4.733944
10.495163,4.805674,10.045166,4.777449,10.945157,4.833899
10.495141,4.905727,10.045145,4.877599,10.945135,4.933854
10.49512,5.005779,10.045123,4.97775,10.945114,5.033809
10.495098,5.105832,10.045102,5.0779,10.945092,5.133764
10.495076,5.205884,10.04508,5.17805,10.94507,5.233719
10.495065,5.255862,10.04508,5.17805,10.945049,5.333674
10.495055,5.30584,10.04508,5.17805,10.945027,5.433629
10.495044,5.355817,10.04508,5.17805,10.945005,5.533584
10.495035,5.398478,10.04508,5.17805,10.94096,5.616932
10.495024,5.44573,10.04508,5.17805,10.92107,5.699192
10.495013,5.499197,10.04508,5.17805,10.885607,5.77799
10.492633,5.558402,10.04508,5.17805,10.835136,5.849477
10.432204,5.568677,10.04508,5.17805,10.770997,5.910537
10.378458,5.577816,10.04508,5.17805,10.695606,5.958119
10.330202,5.586021,10.04508,5.17805,10.61242,5.989836
10.285424,5.593634,10.04508,5.17805,10.52577,6.009224
10.236153,5.602012,10.04508,5.17805,10.427229,6.025979
10.186883,5.610389,10.04508,5.17805,10.328689,6.042734
10.137613,5.618766,10.04508,5.17805,10.230148,6.059489
10.038976,5.635538,9.946347,5.194837,10.131607,6.076244
9.94034,5.652309,9.847613,5.211624,10.033067,6.092999
9.841703,5.66908,9.74888,5.228411,9.934526,6.109754
9.743066,5.685851,9.650147,5.245197,9.835985,6.126509
9.644429,5.702623,9.551413,5.261984,9.737445,6.143264
9.545792,5.719394,9.45268,5.278771,9.638904,6.160019
9.447155,5.736165,9.353947,5.295558,9.540363,6.176775
9.348518,5.752936,9.255213,5.312345,9.441823,6.19353
9.299248,5.761314,9.255213,5.312345,9.343282,6.210285
9.249977,5.769691,9.255213,5.312345,9.244741,6.22704
9.15856,5.785235,9.171786,5.294494,9.146201,6.243795
9.121521,5.791533,9.171786,5.294494,9.074552,6.255977
9.084012,5.79791,9.171786,5.294494,9.002468,6.265596
9.043374,5.80482,9.171786,5.294494,8.928148,6.262741
