center_x_m,center_y_m,inner_x_m,inner_y_m,outer_x_m,outer_y_m
1.400001,3.394607,1.749986,3.359029,1.049634,3.430223
1.400012,3.294493,1.749998,3.258871,1.050008,3.330117
1.400024,3.194359,1.750011,3.158712,1.050020,3.230008
1.400036,3.094226,1.750024,3.058553,1.050031,3.129900
1.400048,2.994092,1.750037,2.958394,1.050043,3.029791
1.400060,2.893958,1.750050,2.858236,1.050055,2.929683
1.400071,2.793825,1.750062,2.758077,1.050066,2.829574
1.400083,2.693691,1.750075,2.657918,1.050078,2.729466
1.400095,2.593558,1.750088,2.557760,1.050089,2.629357
1.400106,2.493424,1.750098,2.457601,1.050102,2.529249
1.399961,2.393291,1.749799,2.357474,1.050175,2.429134
1.399174,2.293157,1.748223,2.257478,1.050505,2.328993
1.397576,2.193023,1.745034,2.157649,1.051157,2.228820
1.395415,2.092890,1.740723,2.057934,1.052034,2.128621
1.392335,1.992756,1.734583,1.958407,1.053276,2.028387
1.388491,1.892621,1.726926,1.859039,1.054821,1.928120
1.384708,1.792487,1.719391,1.759658,1.056343,1.827856
1.380767,1.692353,1.711539,1.660311,1.057926,1.727585
1.379073,1.642300,1.707969,1.654638,1.058653,1.628611
1.377642,1.592246,1.705799,1.648200,1.059099,1.529790
1.376518,1.542191,1.705137,1.641634,1.059242,1.430995
1.375393,1.455632,1.746584,1.581997,1.059573,1.331352
1.375259,1.410354,1.748163,1.577465,1.059708,1.248301
1.376138,1.356104,1.750395,1.573258,1.073107,1.166066
1.379532,1.292829,1.753122,1.569188,1.104846,1.087193
1.394360,1.231692,1.756273,1.565362,1.155326,1.018315
1.469707,1.227877,1.759864,1.561798,1.222862,0.963027
1.534123,1.225626,1.763805,1.558609,1.303097,0.926234
1.588733,1.225102,1.768174,1.556198,1.390386,0.910967
1.634142,1.225398,1.773100,1.554758,1.479278,0.909256
1.684198,1.225706,1.779089,1.553600,1.578188,0.909048
1.734255,1.226357,1.785637,1.553824,1.676986,0.908563
1.784315,1.227334,1.792150,1.555594,1.775791,0.907770
1.884460,1.230110,1.892468,1.561585,1.875867,0.906043
1.984611,1.233645,1.992825,1.569092,1.975934,0.904014
2.084762,1.237458,2.093196,1.577154,2.075998,0.901874
2.184912,1.240787,2.193546,1.584251,2.176068,0.899927
2.285057,1.243332,2.293856,1.589777,2.276145,0.898294
2.385199,1.245101,2.394127,1.593755,2.376231,0.896970
2.485336,1.245645,2.494334,1.595280,2.476328,0.896137
2.585471,1.245515,2.594508,1.595458,2.576432,0.895574
2.685603,1.245095,2.694667,1.595060,2.676539,0.895125
2.785736,1.244655,2.794825,1.594620,2.776647,0.894686
2.885868,1.244215,2.894982,1.594179,2.876754,0.894246
2.986001,1.243775,2.995140,1.593739,2.976862,0.893806
3.086134,1.243335,3.095298,1.593299,3.076969,0.893366
3.186266,1.242895,3.195456,1.592859,3.177077,0.892926
3.286399,1.242455,3.295613,1.592419,3.277184,0.892486
3.386532,1.242015,3.395771,1.591979,3.377292,0.892047
