center_x_m,center_y_m,inner_x_m,inner_y_m,outer_x_m,outer_y_m
1.400001,3.394607,1.749986,3.359029,1.049634,3.430223
1.400012,3.294493,1.749998,3.258871,1.050008,3.330117
1.400024,3.194359,1.750011,3.158712,1.050020,3.230008
1.400036,3.094226,1.750024,3.058553,1.050031,3.129900
1.400048,2.994092,1.750037,2.958394,1.050043,3.029791
1.400060,2.893958,1.750050,2.858236,1.050055,2.929683
1.400071,2.793825,1.750062,2.758077,1.050066,2.829574
1.400083,2.693691,1.750075,2.657918,1.050078,2.729466
1.400095,2.593558,1.750088,2.557760,1.050089,2.629357
1.400100,2.493424,1.750086,2.457604,1.050104,2.529249
1.399332,2.393291,1.748546,2.357602,1.050425,2.429108
1.395347,2.293157,1.740613,2.258258,1.052027,2.328837
1.387312,2.193022,1.724614,2.159742,1.055241,2.228401
1.376457,2.092887,1.703007,2.061806,1.059578,2.127848
1.361009,1.992752,1.672257,1.964809,1.065741,2.027107
1.341743,1.892616,1.633922,1.868599,1.073421,1.926208
1.322786,1.792479,1.596195,1.772330,1.080983,1.825323
1.303031,1.692343,1.556886,1.676229,1.088856,1.724401
1.294537,1.642289,1.539033,1.647866,1.092441,1.629965
1.287358,1.592236,1.528186,1.615678,1.094620,1.536294
1.281714,1.542179,1.524873,1.582846,1.095294,1.442753
1.276051,1.455620,1.559934,1.513901,1.096903,1.344972
1.275361,1.407316,1.567827,1.491243,1.095776,1.265545
1.279728,1.329554,1.578989,1.470206,1.107389,1.186676
1.296670,1.236847,1.592622,1.449856,1.136946,1.111059
1.329388,1.155674,1.608375,1.430728,1.184906,1.045241
1.426215,1.137831,1.626332,1.412906,1.249567,0.992804
1.514339,1.127602,1.646037,1.396959,1.326651,0.958564
1.588297,1.125857,1.667880,1.384906,1.410444,0.945226
1.633714,1.128134,1.692510,1.377706,1.495397,0.944666
1.683780,1.130554,1.722459,1.371914,1.589515,0.945384
1.733853,1.134691,1.755195,1.373034,1.683074,0.944721
1.783932,1.140454,1.787764,1.381888,1.776670,0.942512
1.884135,1.156094,1.888720,1.413601,1.876617,0.935639
1.984355,1.175529,1.989876,1.452896,1.976524,0.927254
2.084582,1.196352,2.091103,1.494970,2.076416,0.918310
2.184798,1.214762,2.192218,1.532215,2.176334,0.910335
2.284995,1.229242,2.293133,1.561605,2.276289,0.903927
2.385175,1.239849,2.393856,1.583258,2.376284,0.899070
2.485330,1.244325,2.494266,1.592640,2.476342,0.896665
2.585471,1.245433,2.594504,1.595293,2.576432,0.895607
2.685603,1.245095,2.694667,1.595060,2.676539,0.895125
2.785736,1.244655,2.794825,1.594620,2.776647,0.894686
2.885868,1.244215,2.894982,1.594179,2.876754,0.894246
2.986001,1.243775,2.995140,1.593739,2.976862,0.893806
3.086134,1.243335,3.095298,1.593299,3.076969,0.893366
3.186266,1.242895,3.195456,1.592859,3.177077,0.892926
3.286399,1.242455,3.295613,1.592419,3.277184,0.892486
3.386532,1.242015,3.395771,1.591979,3.377292,0.892047
