dataset_image,split,source_relative_path,source_sha256,annotation_class,class_id,x_min,y_min,x_max,y_max,yolo_x_center,yolo_y_center,yolo_width,yolo_height,decision_source
green__brightness_high__run_01__20260820T145310_724.jpg,train,green/brightness_high/run_01/20260820T145310_724.jpg,ac68f8c86edc904338d1209bf5020efc417e2ac0f16c68b0aeba98ebe8e830ea,green,2,326,180,344,210,0.697917,0.541667,0.037500,0.083333,green_folder
green__brightness_high__run_01__20260820T145311_249.jpg,train,green/brightness_high/run_01/20260820T145311_249.jpg,07aa42034a13c2b16a6187f78f4680a170e9a5ac993550512f0a9d7011fb93d9,green,2,326,180,344,210,0.697917,0.541667,0.037500,0.083333,green_folder
green__brightness_high__run_01__20260820T145311_773.jpg,train,green/brightness_high/run_01/20260820T145311_773.jpg,afc6242804ea0f33b8080af00066fa8d4684afc0013b9e6494629da2002797c7,green,2,326,180,344,210,0.697917,0.541667,0.037500,0.083333,green_folder
green__brightness_high__run_01__20260820T145312_295.jpg,train,green/brightness_high/run_01/20260820T145312_295.jpg,265ff219a1379f281e7ce37f1c9282da8e4132788f5e4d6ce38c810b0840bd7b,green,2,326,180,344,210,0.697917,0.541667,0.037500,0.083333,green_folder
green__brightness_high__run_01__20260820T145312_818.jpg,train,green/brightness_high/run_01/20260820T145312_818.jpg,5e79540c8b5232b38dcada80151dc3646e5b90b4045f105c66572f08bf844922,green,2,326,180,344,210,0.697917,0.541667,0.037500,0.083333,green_folder
green__brightness_high__run_01__20260820T145313_343.jpg,train,green/brightness_high/run_01/20260820T145313_343.jpg,418bb0ec75c70f57f22f8533551c9a83546a6a164f4ac6658215906aeb6e467e,green,2,326,180,344,210,0.697917,0.541667,0.037500,0.083333,green_folder
green__brightness_high__run_01__20260820T145313_862.jpg,train,green/brightness_high/run_01/20260820T145313_862.jpg,97f933de32bf7847129b988984b3fec5a8c98407fca1ca228025586849704695,green,2,326,180,344,210,0.697917,0.541667,0.037500,0.083333,green_folder
green__brightness_high__run_01__20260820T145314_379.jpg,train,green/brightness_high/run_01/20260820T145314_379.jpg,29c24abc1391fbe7cb4b29bf1001e0e576421a4ac94e524b627d3e3bf5c9b139,green,2,326,180,344,210,0.697917,0.541667,0.037500,0.083333,green_folder
green__brightness_high__run_01__20260820T145314_897.jpg,train,green/brightness_high/run_01/20260820T145314_897.jpg,f23c00934722a39a9faeb0bd71fb144c0bfb9dc819924a95daa15a2905eb0fe8,green,2,326,180,344,210,0.697917,0.541667,0.037500,0.083333,green_folder
green__brightness_high__run_01__20260820T145315_426.jpg,train,green/brightness_high/run_01/20260820T145315_426.jpg,02870e660d754b621fd683b767ee67e92f96facd713d4a7f544e654868a145c2,green,2,326,180,344,210,0.697917,0.541667,0.037500,0.083333,green_folder
green__brightness_high__run_01__20260820T145315_958.jpg,train,green/brightness_high/run_01/20260820T145315_958.jpg,4694d464a0193590d3dfb7193bfefbf06485a63d4a82ca6320be7508eb1964d3,green,2,326,180,344,210,0.697917,0.541667,0.037500,0.083333,green_folder
green__brightness_high__run_01__20260820T145316_484.jpg,train,green/brightness_high/run_01/20260820T145316_484.jpg,4b98779311b1025ce9a4d674d7295f55ac89b63c49ffa08c764049841f00c6fc,green,2,326,180,344,210,0.697917,0.541667,0.037500,0.083333,green_folder
green__brightness_high__run_01__20260820T145317_007.jpg,train,green/brightness_high/run_01/20260820T145317_007.jpg,e0bc062d124707b3aeeb8970dc234d72a7ba1cc32627b203687d9a0957f33763,green,2,326,180,344,210,0.697917,0.541667,0.037500,0.083333,green_folder
green__brightness_high__run_01__20260820T145317_528.jpg,train,green/brightness_high/run_01/20260820T145317_528.jpg,182923eccda9720ad7e0517bcff6b557db42cdfe427097f7d8b6cf42b457fd71,green,2,326,180,344,210,0.697917,0.541667,0.037500,0.083333,green_folder
green__brightness_high__run_01__20260820T145318_058.jpg,train,green/brightness_high/run_01/20260820T145318_058.jpg,923837ab28867ac70745c7c600fb5918cb2ec6d98214bdcc5caeb1da063daa59,green,2,339,180,360,214,0.728125,0.547222,0.043750,0.094444,green_folder
