epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9927,0.825,8.36745,0.00191,0,0,0,0,0,0,0,0.000470066,0.000470066,0.000470066
2,79.4253,0.81874,5.83431,0.00192,0,0,0,0,0,0,0,0.00093703,0.00093703,0.00093703
3,115.444,0.80589,3.9105,0.00186,0,0,0,0,0,0,0,0.00139456,0.00139456,0.00139456
4,151.643,0.78145,2.80623,0.00184,0,0,0,0,0,0,0,0.00138656,0.00138656,0.00138656
5,187.794,0.68568,2.0164,0.00163,0,0,0,0,0,0,0,0.00137241,0.00137241,0.00137241
6,224.575,0.66543,1.46649,0.00155,0,0,0,0,0,0,0,0.00135826,0.00135826,0.00135826
7,278.97,0.658,1.13027,0.00156,0,0,0,0,0,0,0,0.00134412,0.00134412,0.00134412
8,335.611,0.62243,0.9003,0.00143,0,0,0,0,0,0,0,0.00132997,0.00132997,0.00132997
9,390.861,0.62148,0.78802,0.00146,0,0,0,0,0,0,0,0.00131582,0.00131582,0.00131582
10,427.637,0.6051,0.70131,0.00147,0,0,0,0,0,0,0,0.00130168,0.00130168,0.00130168
11,33.4647,0.57188,0.62135,0.00136,0,0,0,0,0,0,0,0.00128753,0.00128753,0.00128753
12,62.9515,0.56426,0.56148,0.00134,0,0,0,0,0,0,0,0.00127338,0.00127338,0.00127338
13,92.617,0.51284,0.51477,0.00119,0,0,0,0,0,0,0,0.00125923,0.00125923,0.00125923
14,122.999,0.5308,0.48003,0.00121,0,0,0,0,0,0,0,0.00124509,0.00124509,0.00124509
15,152.639,0.51391,0.44056,0.00122,0,0,0,0,0,0,0,0.00123094,0.00123094,0.00123094
16,182.243,0.51612,0.4302,0.00119,0,0,0,0,0,0,0,0.00121679,0.00121679,0.00121679
17,211.917,0.52446,0.41078,0.00126,0,0,0,0,0,0,0,0.00120265,0.00120265,0.00120265
18,241.467,0.49564,0.39735,0.00113,0,0,0,0,0,0,0,0.0011885,0.0011885,0.0011885
19,271.138,0.50957,0.3905,0.00116,0,0,0,0,0,0,0,0.00117435,0.00117435,0.00117435
20,301.5,0.52076,0.41076,0.00119,0,0,0,0,0,0,0,0.00116021,0.00116021,0.00116021
21,331.36,0.51006,0.37007,0.00117,0,0,0,0,0,0,0,0.00114606,0.00114606,0.00114606
